"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"1"	0.52	0.000231542864686699	0.0839780945435025	0.0519265418651632	2.18215894782818	0.0259823732147862	0.000441935634472845	462.994193810925
"2"	0.577	0.000135759776533342	0.416772032879804	2.4985	214.503305276739	0.518170478895914	0.000398658671471924	1064.39739523921
"3"	0.476	0.000228843517119407	1.54159627553805	116.328851227646	0.00778700715770218	0.0495925672041683	3.07215035618024e-05	20.102562063878
"4"	0.834	0.000137893744932164	0.167268200280126	124.314919009688	124.976322918738	0.0522791349988121	2.33512897874895e-05	6722.41430220775
"5"	0.564	0.000139823099279144	0.00693147180559945	0.91675	0.514185312492343	0.0788774785500066	0.000414241542040104	904.737785953331
"6"	0.574	0.000135759776533342	1.09245203698279	1.51911109545205	8.00468990176332	161.116325837297	0.000526768079489341	822.541161440312
"7"	0.499	0.000148358658012925	0.844994925909792	0.073202246654686	167.10656982027	61.7411215344467	0.00025041108404989	0
"8"	0.477	7.91927193109656e-05	0.00778427348097558	17.6433167135072	0.589291792039733	0.145994096725683	3.30474224449091e-05	5.11208185257962
"9"	0.556	0.00012708265017958	0.245181436237718	186.030825662942	0.00171328433867756	0.0104299864965413	0.000232664712958261	1625.32046064734
"10"	0.506	0.000140625863572491	3.51915765550151	0.0429197286621707	2.96037780988458	0.00750605844766714	0.000349325968438729	0
"11"	0.834	0.000137835781984362	3.61918790824917	0.12124021263809	0.12124021263809	0.00740576779532925	2.67633746955683e-05	6702.7866621481
"12"	0.597	0.00014009545690916	2.02977370628494	3.24775	2.18074947899665	94.050116856042	0.000749185574506845	1007.92905503693
"13"	0.559	9.21947645401102e-05	0.00693147180559945	28.7322846251873	0.10030091495411	11.2704449078842	0.000237709950421852	1632.63815580941
"14"	0.511	0.000144232440488579	1.78001678884421	12.9114549032965	14.0378231660615	5.01778000920499	0.000173527381819809	14.1741069998372
"15"	0.825	0.000110702528353039	2.61535932430004	10	114.781782858279	0.0507317535847976	3.58148324998536e-05	6722.93780683149
"16"	0.804	0.000148747166796201	17.7321167808031	0.1	100	0.0128872522955481	7.51590680962332e-05	7196.8779754002
"17"	0.55	0.000148658918075267	18.7649943435816	0.0777049657052311	1.65175270054417	1.15983624969312	0.000490763684960997	985.11003045598
"18"	0.51	0.000152773801976934	5.67040387046023	12.9226586131233	0.15696637814835	0.318252627659892	0.000156999341709702	10.861283120591
"19"	0.83	0.000168228252190489	20.5308302506448	17.49925	10	0.384954441415302	4.27613890861582e-05	6700.87948909765
"20"	0.512	0.000152677313911551	9.04148153978455	0.29294729563494	2.11124100806054	1.72552767625379	0.000219495069351327	0
"21"	0.482	0.000124804230268268	0.24956095898033	142.564634561113	0.261958447052014	0.0127038731674519	6.5387288130488e-05	1.55587389010907
