"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"1"	0.17	6e-05	0.00747473250367686	0.0495059580751894	3.20103068139674	0.0115228488077576	0.000375867230986506	2082.6680307432
"2"	0.171	0.000139349948359749	0.136328683191449	0.001	229.523897350973	0.132167611625312	0.000110621020591297	2075.3065253017
"3"	0.271	0.000859142094689937	1.45084194974743	103.350472911248	0.0102038795384427	0.0202251888231764	7.4825276680255e-05	2246.00751536991
"4"	1.21	0.000139276024606577	0.166631691544085	123.90690113981	121.874094074667	0.289712480386499	4.31415374981139e-05	6700.56998359311
"5"	0.171	0.000140542758351914	0.808762365293018	0.001	0.209699091431815	0.0143852850382281	0.000110825156194084	2076.01319225925
"6"	0.177	0.000139052258121344	0.790098358648881	0.001	1.13236226479827	24.3644479613575	8.55946112512675e-05	2004.15647746553
"7"	0.17	0.000114136020929455	0.00693147180559949	0.001	124.391137793572	120.412637657255	0.000134294540115747	1987.12015965022
"8"	0.28	0.000141187582756487	0.976093738245088	7.98408673636375	1.72886772432618	0.0402736845608959	3.09851423551825e-05	1216.26971917751
"9"	0.173	0.000295504676766504	0.00693147180559945	0.563035880546602	0.001	0.00440897276619423	0.000121664721981122	2185.39969982579
"10"	0.181	0.000155438705594469	4.07313736405018	0.0841966851088356	5.51451724366066	0.0033033148911644	0.000371986834005563	2156.52220529334
"11"	1.21	0.000137632880863633	3.61506437592289	0.121601453812961	0.121601453812961	0.031956101372726	3.61340980302132e-05	6701.96901042449
"12"	0.168	0.000137058515559628	3.54837390230767	0.001	2.08407206211043	17.6164089370796	0.00013973612281138	2103.44313425592
"13"	0.245	0.000136593288393296	3.55311540509342	11.1381785602744	0.110340969656182	8.86108707244309	0.000277630358401128	2101.01063413054
"14"	0.199	0.000159876490022537	1.56975341447606	0.098646484375	19.694924052195	1.47341497519561	0.000337039563149416	1993.22762783632
"15"	1.206	0.000126133580294017	3.0743836709933	10.1148134623194	153.9057109375	0.115298999122111	3.40088050398212e-05	6703.73804859637
"16"	1.21	0.00017036283194091	20.3129115076863	0.1023203125	89.1876450182762	0.0119613905834981	7.78757875270391e-05	6702.14970473613
"17"	0.168	0.000138429406869384	18.4956711264353	0.001	1.45618690117197	0.260797423960836	0.000209890338828543	2198.52256642603
