"V2"	"V3"	"V4"	"V5"	"V6"
"1"	0.211	0.000666306469693841	0.115481890296148	0.205908209426951	3006.58894774314
"2"	0.215	0.000513670081437774	2.26224846079111	0.129239868145531	3384.83896246229
"3"	0.221	0.00064451005773083	15.9597316663438	0.0297175510268115	3476.9455369918
"4"	0.228	0.00108750502196675	35.7222030727768	0.0761238383267369	3228.69245515571
"5"	0.213	0.000544597131327885	10.9574506802287	0.943281856879991	3324.74422825023
"6"	0.17	0.000143417606790411	58.2279499681939	2.35407116079214	2319.12810306467
"7"	0.25	0.00190864394683227	997.880815310049	1.67532851197177	3256.22795637052
"8"	0.229	0.00110217019006688	918.384667209049	2.05102753756064	3259.31928354023
"9"	0.212	0.000562194048977722	862.135308774527	24.0754233933022	3264.9885451895
"10"	0.213	0.000548701148879645	918.53497151852	70.4254798869641	3157.79324963538
"11"	0.15	3.32029846405854e-05	224.683022335293	52.6496986463942	1692.35004934161
"12"	0.181	0.00016810710200774	0.411803775973156	0.00100000000000478	2730.71960120378
"13"	0.212	0.000575465129095577	3.74357018041933	1.25872678183756	3253.45727069491
"14"	0.153	5.16859903911038e-05	2.50359909583851	2.42880637738264	1816.0503283005
"15"	0.253	0.0017361488477103	67.5350851994009	3.20003027043136	3080.66550938318
"16"	0.142	2e-05	13.0388311674098	0.00449137329422625	1664.8428565636
"17"	0.25	0.00185086522138164	974.91456371636	1.2001805678522	3661.74237629671
"18"	0.238	0.00130908667628411	229.987448449452	10.8446523593656	3092.14266112819
"19"	0.142	2.00501175438344e-05	944.709773192614	0.0335517882553011	2471.70088442852
"20"	0.147	2.41309987381525e-05	373.38444530404	0.007528168951826	2880.64536373589
"21"	0.142	2.00001289364788e-05	573.157980558485	0.0183452046934067	2435.21668852918
"22"	0.211	0.000624086050383473	0.127730924599884	0.0111562833889059	3175.20753245511
"23"	0.239	0.00140049462972712	0.57760924260949	0.00106520509293095	3312.15407294825
"24"	0.211	0.000589172647939217	0.118772633318572	0.0781809503958836	3141.36439327812
"25"	0.211	0.000646564242010705	0.823964039815832	0.00908673634286456	3121.46632239922
"26"	0.211	0.000593314084030338	2.45698422455837	14.6893580713954	3126.86897742479
