"V2"	"V3"	"V4"	"V5"	"V6"
"1"	0.304	2.23734258432137e-05	0.00932408993494301	1.42779458683418	3191.86206083038
"2"	0.304	2.37082607315823e-05	0.192431999256971	0.0231471359383239	3220.99740479821
"3"	0.304	2.2898423382006e-05	0.051667279913187	0.0562667796756696	3197.10294095866
"4"	0.304	2.17963846432048e-05	0.218126660654474	26.4624419175327	3184.5946337693
"5"	0.304	2.06671814887841e-05	0.193360285947143	0.00960001315244449	3286.61231701363
"6"	0.304	2.03903194975962e-05	1.12829089546058	663.262530895355	3208.43584458403
"7"	0.304	2.30022998000211e-05	23.5457114742747	0.702675799335405	3276.61297151261
"8"	0.304	2.1044562466405e-05	111.556711672909	273.057920836481	3319.39220594911
"9"	0.305	2.43071424171362e-05	341.269665650905	2.0077210546372	3315.08894986334
"10"	0.304	2.11542986243256e-05	0.00855778516050004	0.0368900616546884	3236.77738861865
"11"	0.304	2.19385051861049e-05	0.00279336732505855	11.8143871379718	3250.82757005955
"12"	0.304	2.05393219155371e-05	0.0539482758083415	0.615247193949686	3262.38567407063
"13"	0.304	2.08288891742532e-05	0.0422441096890655	0.419209251619352	3333.86862318441
"14"	0.304	2.17499438579725e-05	0.0454844633800899	5.59087561592701	3164.09125549652
"15"	0.304	2.16412043489419e-05	1.30305187505515	0.00809224536198641	3130.32624727816
"16"	0.304	2.17000678752665e-05	0.77341735513043	1.92987603342032	3170.71035898422
"17"	0.304	2.08277909917565e-05	1.86539708291133	0.00779020705231277	3176.65000254734
"18"	0.304	2.2930075042508e-05	0.962220491606485	911.630191780174	3196.32009294066
"19"	0.304	2.11454231459e-05	102.20492304255	7.51810512084357	3183.79247682537
"20"	0.304	2.01409109075761e-05	112.259984551248	10.3793168982609	3101.47281479079
"21"	0.304	2.23838948194665e-05	0.00877533058145982	0.00626864982768816	3282.44587754114
"22"	0.304	2.09352950766987e-05	0.00912316491631847	4.1487595120987	3333.09215090796
"23"	0.304	2.19754119677453e-05	0.228154365605741	1.42991047370487	3155.35722530063
"24"	0.304	2.04131111188527e-05	0.311262039752164	113.942448206064	3317.72990528118
"25"	0.304	2.05641399142477e-05	1.19231355986379	283.284324445795	3262.38579055573
"26"	0.304	2.05674682020705e-05	15.2397154765792	2.21586527940717	3231.07424539698
"27"	0.304	2.04489088594237e-05	4.65692096567769	294.471210815666	3092.72257112712
"28"	0.304	2.1168296659621e-05	40.8068293837495	2.96113420062671	3302.73486432785
"29"	0.304	2.18769676464794e-05	21.1003543846661	82.161680484413	3218.70140858833
"30"	0.304	2.05684095360002e-05	25.8706789603528	989.773400677445	3181.56919120752
"31"	0.304	2.22743126604776e-05	95.3774023016871	11.4061098998485	3215.25015962177
"32"	0.304	2.06151915682855e-05	0.00912954679781552	0.598741253705587	3257.92490176786
"33"	0.304	2.00000002638527e-05	0.0439103633300622	0.222887430046019	3355.35485985697
"34"	0.304	2.00000001325424e-05	0.0437194182536722	1.00918576865346	3355.24621045571
"35"	0.304	2.06575051823107e-05	0.0472315657802835	66.8584583345942	3296.69092806498
"36"	0.304	2.01973650047691e-05	0.337769799650561	84.2759249682144	3203.83605517565
"37"	0.304	2.00000021084274e-05	1.09651767216863	1.62663629047593	3355.26435039141
"38"	0.182	0.00199381291159177	6.63335492779521	0.060920617625226	4210.79964105132
"39"	0.304	2.10485018378182e-05	8.23463012356623	0.0492874737553024	3290.04219392698
"40"	0.31	2.00223387006219e-05	50.3682353196673	0.0127691293355794	3894.78007389052
"41"	0.309	2.09911631475293e-05	14.9196319228833	0.00525448334900086	3583.85608120147
"42"	0.304	2.25658787977079e-05	25.3681294989541	15.4674790008454	3173.88875723011
"43"	0.304	2.05637096894067e-05	2.6637251920821	0.116681737585157	3163.74830545575
"44"	0.304	2.05257607415288e-05	736.203150391456	145.629984313359	3262.23001630183
"45"	0.304	2.21052111578764e-05	355.601760872147	221.755337181994	3284.00598007828
"46"	0.181	0.00199617469649674	0.0317377516276646	0.809102152007814	4169.5676313284
"47"	0.181	0.00198436433041306	0.92618372216373	0.591424883097354	4229.09163151613
"48"	0.304	2.13266738337522e-05	0.225405356721636	8.59764643328123	3259.21158070275
"49"	0.304	2.0333000413139e-05	5.85837153429164	0.0351355655934456	3131.93306727747
