"V2"	"V3"	"V4"	"V5"
"1"	0.569	5.39767036662373e-05	0.0025869464929575	174.475198384797
"2"	0.565	5.33575594767204e-05	0.0140567636928757	536.974517967253
"3"	0.562	5.47604730579751e-05	0.0524065620734959	646.574575720667
"4"	0.565	5.37976468002526e-05	0.0157730909744637	179.586464365741
"5"	0.562	5.38194285200053e-05	0.0500439943426986	715.05993768958
"6"	0.562	5.36539521375592e-05	0.0444597887883848	640.263551307034
"7"	0.565	5.34766938790674e-05	0.0157068428052215	147.748048960988
"8"	0.562	5.56797652400821e-05	0.0534445647325276	513.079525712876
"9"	0.562	5.32444823180236e-05	0.0542291900534767	465.732980603204
"10"	0.564	5.42843405022029e-05	0.0419889837919941	190.343850216326
"11"	0.562	5.34228198934184e-05	0.0485417317181763	466.451809262704
"12"	0.562	5.43341789264622e-05	0.0507988460800779	502.70903678948
"13"	0.562	5.36381424884533e-05	0.0545423929758881	663.484040551598
"14"	0.569	5.33531205785935e-05	0.00219973223086655	63.4206496282415
"15"	0.562	5.36819388555571e-05	0.0535792499859791	507.717249995447
"16"	0.562	5.37027723252395e-05	0.0425131771449164	679.540789346306
"17"	0.562	5.35144519935525e-05	0.0487936428236868	704.026270871428
"18"	0.562	5.34108615203249e-05	0.0506280208795014	450.521142375709
"19"	0.562	5.51261003709461e-05	0.0437757436313554	651.327222654862
"20"	0.562	5.35465378411052e-05	0.0458808520253696	446.224194177854
"21"	0.568	5.32558298689449e-05	0.00334762643639891	164.845341424367
"22"	0.569	5.52432314853629e-05	0.0024711467950754	258.648631415433
"23"	0.562	5.35341383962652e-05	0.0454330070742506	687.662945554948
"24"	0.562	5.50598804272307e-05	0.0547802671064402	678.935053177209
"25"	0.567	5.3465063815458e-05	0.0053332166269597	379.621678484163
"26"	0.567	5.35393869429461e-05	0.00965442075016894	7.665695557001
"27"	0.565	5.35303147046178e-05	0.0157727735515862	149.524490709407
"28"	0.562	5.41095418406738e-05	0.0535913918138455	651.529669054669
"29"	0.562	5.39590814596929e-05	0.0465063453554413	484.844654593102
"30"	0.565	5.39028743868228e-05	0.0220666029756459	129.48682454749
"31"	0.562	5.4134090230512e-05	0.0528658874455733	651.678659096724
"32"	0.562	5.4014263349208e-05	0.0523194536277954	574.439297513885
"33"	0.562	5.56201861387591e-05	0.0517308225767523	743.362768508792
"34"	0.562	5.69644556411526e-05	0.0521901428639334	595.505969413353
"35"	0.562	5.59403638637657e-05	0.0545153354077896	667.367831587369
"36"	0.569	5.5659511500337e-05	0.00263226742692658	178.417926916624
"37"	0.569	5.37946044429102e-05	0.00273186598304755	436.68862556902
"38"	0.569	5.42316289639841e-05	0.00255786750254078	285.857764653031
"39"	0.564	5.31566288371431e-05	0.0168612764328571	553.054777726591
"40"	0.583	5.43794293123961e-05	0.0523502569652689	2022.9376470689
"41"	0.562	5.44329583384794e-05	0.0434687105823376	551.493100273937
"42"	0.562	5.44575305549012e-05	0.0430033485565534	605.692630955798
"43"	0.564	5.33197408361999e-05	0.0174739582966506	359.913258325052
"44"	0.564	5.38077015551496e-05	0.0189533809023543	340.457028410851
"45"	0.565	5.33161578875054e-05	0.021891354645755	63.4470721251862
"46"	0.564	5.34802461866167e-05	0.0264213988485714	192.418939690812
"47"	0.562	5.46203478693384e-05	0.0516004541741419	700.595883065174
"48"	0.562	5.4764083900772e-05	0.0537074870503878	444.260035461492
"49"	0.562	5.37943723602992e-05	0.0499413393204213	711.007567413895
"50"	0.562	5.38031504757384e-05	0.0500012636093143	409.79781429487
"51"	0.562	5.64650898650043e-05	0.0543207310283713	661.525812849758
"52"	0.562	5.57569411365364e-05	0.0529519117282323	513.078328064968
"53"	0.569	5.47060675083419e-05	0.00227625927498766	271.919415607693
"54"	0.568	5.33268746030872e-05	0.00336708853820741	212.634275321519
"55"	0.566	5.3420368577922e-05	0.00969481037969807	132.747967556097
"56"	0.562	5.36261906550316e-05	0.0471755853054158	485.219748034913
"57"	0.562	5.38122381393475e-05	0.0538411763342733	646.735055358926
"58"	0.565	5.32211972505754e-05	0.0134527743733369	192.416920613956
"59"	0.562	5.424182086675e-05	0.0424267442689455	550.625548062577
"60"	0.563	5.39356760474944e-05	0.0357727884652194	286.966475816332
"61"	0.562	5.52563085072897e-05	0.0541750740091876	736.827896748577
"62"	0.562	5.48664148668758e-05	0.0536818587628115	605.309097873936
"63"	0.562	5.52243890583675e-05	0.0504241443444358	737.27047104448
"64"	0.562	5.44461263477206e-05	0.0535157951486504	627.419213076823
"65"	0.562	5.42499389237171e-05	0.0543111888136118	612.960072094472
"66"	0.562	5.52659627482928e-05	0.0542415547151349	587.496879364747
"67"	0.487	0.00199902624159707	0.00100770315667663	1993.37559315719
"68"	0.487	0.00199941388515758	0.001	1937.38284172835
"69"	0.563	5.36508737985054e-05	0.0349040546011085	351.365055822336
"70"	0.562	5.53821343411104e-05	0.0520200366525976	559.975071347319
"71"	0.565	5.32787756088017e-05	0.043268554161005	27.8198242603866
"72"	0.562	5.41423602862325e-05	0.0501438109445071	419.096973508514
"73"	0.562	5.36047171563399e-05	0.0459090659570355	441.966027270189
"74"	0.562	5.51346674067051e-05	0.0545299884313395	621.185481280241
"75"	0.562	5.36233091034189e-05	0.0459076778373661	442.022950757628
"76"	0.562	5.41266942705412e-05	0.0537183656768786	546.964309963796
"77"	0.487	0.00199941388515758	0.001	1926.94816644038
"78"	0.487	0.00199786581562769	0.00100384593057229	1995.18457527547
"79"	0.487	0.00199848842388242	0.0010025138425831	1934.85842588508
"80"	0.487	0.00199793288138449	0.00100156596665199	1937.52080647311
"81"	0.487	0.00199869666587865	0.00100612175541178	1967.63404485514
"82"	0.487	0.00199783996346376	0.0010027638005921	1956.09028419028
"83"	0.487	0.00199762417777119	0.00100521064371071	1956.32948070465
"84"	0.487	0.00199941388515758	0.00100492384427476	1955.37759133846
"85"	0.487	0.0019994006912918	0.00101073254834133	1979.1516194805
"86"	0.487	0.00199819112810511	0.00100024673912925	1923.28574515783
"87"	0.488	0.00198898665988026	0.00100401853729873	1899.83007179493
"88"	0.487	0.00199918862398969	0.00100600024215359	1935.31357315272
"89"	0.562	5.43682485088699e-05	0.0490473085922536	764.555774111172
"90"	0.562	5.70889119176388e-05	0.0538916969020079	737.188574637333
"91"	0.562	5.33701125592943e-05	0.0469957832512707	412.933645353632
"92"	0.487	0.00199905195552561	0.00100282440985183	1927.52775492741
"93"	0.487	0.00199798368502933	0.00100355320778216	1966.99038086616
"94"	0.487	0.00199916965927847	0.00100014916630076	1916.44724125013
"95"	0.487	0.00199798485911295	0.00100747722456779	1967.38225441963
"96"	0.487	0.00199862839041074	0.00100662005297485	1972.43967867361
"97"	0.487	0.00199924981445878	0.00100057548189498	1919.23344155293
"98"	0.487	0.00199744776457393	0.001	1956.90857861055
"99"	0.487	0.00199905280848799	0.00100145610048627	1925.08119722788
"100"	0.488	0.00199438672611804	0.00100670172364483	1876.79094077459
