"rep1"	"rep2"	"score"	"rep1rmsd"	"rep2rmsd"
"ARRDC3"	23	23	4.33767829909609	0.636	0.605
"DLC1"	99	98	4.14815374223121	0.499	0.496
"EFNA1"	69	24	3.92922582945406	0.447	0.424
"ELF3"	36	36	4.377	0.691	0.686
"FAM46A"	94	98	4.2131387572369	0.578	0.554
"GADD45A"	78	33	3.82693700073699	0.32	0.301
"IER3"	84	40	4.35633635130108	0.631	0.604
"IER5"	35	36	4.11828764074645	0.542	0.501
"IRF1"	34	35	4.11013416955334	0.528	0.497
"IRS2"	34	92	3.65462191665959	0.339	0.312
"JUNB"	86	86	4.07149292204594	0.495	0.476
"KLF10"	38	39	4.02990201125937	0.217	0.14
"KLF3"	92	92	4.10956116375861	0.523	0.509
"LIF"	16	16	4.03569582503176	0.538	0.489
"MAP3K1"	94	97	4.18572212869098	0.586	0.542
"MAP3K8"	75	58	3.83200933383099	0.327	0.309
"MXD1"	95	96	4.07939515489941	0.544	0.499
"NRIP1"	41	8	3.79390269859396	0.397	0.387
"NUAK2"	48	49	4.12250510502804	0.569	0.541
"PHLDA1"	93	93	3.72918802654197	0.363	0.346
"PIM1"	19	19	3.85686326865057	0.351	0.326
"PLEKHF2"	34	36	3.60826615190758	0.212	0.197
"PLK2"	30	32	4.08602449286015	0.545	0.509
"PPP1R15A"	32	32	4.38394268448015	0.349	0.262
"PPP1R3C"	86	92	4.2107407712125	0.538	0.517
"PTGER4"	69	69	3.82483398333414	0.361	0.35
"RND1"	33	35	3.84513794827772	0.385	0.349
"SALL4"	71	73	3.9580575884704	0.456	0.417
"SOX9"	2	2	3.26956527837464	0.103	0.096
"SPRY4"	93	73	3.48790785210926	0.202	0.196
"SPSB1"	79	79	3.82857974051006	0.214	0.213
"TNF"	7	11	3.84950199285393	0.407	0.373
"TNFAIP3"	6	6	4.1141044889607	0.332	0.288
"ZC3H12A"	23	23	3.73815768765089	0.266	0.205
