"rep1"	"rep2"	"score"	"rep1rmsd"	"rep2rmsd"
"ARRDC3"	14	14	3.874	0.45	0.424
"DLC1"	81	83	3.91248085959421	0.453	0.427
"EFNA1"	41	40	3.88864106997004	0.439	0.404
"ELF3"	6	86	4.20539614884945	0.145	0.62
"FAM46A"	56	56	4.05777434439743	0.536	0.503
"GADD45A"	16	16	3.56828391934985	0.215	0.262
"IER3"	17	14	4.13260856772265	0.571	0.54
"IER5"	69	69	4.06994487077736	0.547	0.502
"IRF1"	16	16	4.08523910260245	0.545	0.535
"IRS2"	50	11	3.59047698062218	0.261	0.245
"JUNB"	43	43	3.43623350981311	0.155	0.189
"KLF10"	15	42	3.83340702810938	0.109	0.107
"KLF3"	14	10	3.99431835576799	0.445	0.489
"LIF"	51	52	4.0566924652491	0.524	0.479
"MAP3K1"	2	3	4.19393851669585	0.588	0.542
"MAP3K8"	51	60	3.58582134067409	0.23	0.28
"MXD1"	33	33	4.06887889570808	0.49	0.541
"NRIP1"	95	95	3.83746482419813	0.346	0.356
"NUAK2"	15	3	4.00100376502183	0.194	0.222
"PHLDA1"	19	66	3.73073056992797	0.36	0.321
"PIM1"	27	27	3.631	0.419	0.212
"PLEKHF2"	25	25	3.47276953734451	0.229	0.197
"PLK2"	69	72	4.06120613377266	0.548	0.511
"PPP1R15A"	6	6	3.40135539363308	0.155	0.179
"PPP1R3C"	80	74	4.10426593314614	0.464	0.502
"PTGER4"	37	48	3.40972345785703	0.143	0.174
"RND1"	76	22	3.78326697467494	0.205	0.263
"SALL4"	38	38	3.88543830571602	0.455	0.413
"SOX9"	44	54	3.2913250940033	0.124	0.094
"SPRY4"	90	92	3.48643060911892	0.217	0.211
"SPSB1"	75	79	3.53628035154413	0.154	0.192
"TNF"	43	45	3.82541200916556	0.408	0.372
"TNFAIP3"	4	5	3.88773174075231	0.191	0.234
"ZC3H12A"	93	98	4.11496107825252	0.473	0.568
