,Condition,mean_DA,sd_DA,CV_DA,mean_Dens,sd_Dens,CV_Dens,KS_norm,RaoQE_DA,DIV_DA,TIME
siIkappaBalpha_15,siIkappaBalpha,0.278255216,0.064999766,23.35976565,0.804922809,0.144663116,17.97229676,0.038051516,0.036589269,0.033385301,15
siIkappaBalpha_30,siIkappaBalpha,0.32446749,0.078251951,24.11703885,0.946882305,0.193141974,20.39767491,0.038613402,0.043892889,2.78E-16,30
siIkappaBalpha_45,siIkappaBalpha,0.364969186,0.083268627,22.81524861,1.040036684,0.210267263,20.21729289,0.020305967,0.046734262,0,45
siIkappaBalpha_60,siIkappaBalpha,0.372482931,0.087115918,23.38789546,1.034457119,0.198765922,19.21451535,0.030928258,0.048915103,1.11E-16,60
siIkappaBalpha_75,siIkappaBalpha,0.381636164,0.091199464,23.89696593,1.11977306,0.234309797,20.92475749,0.032007214,0.051297271,6.66E-16,75
siIkappaBalpha_90,siIkappaBalpha,0.399344281,0.096468453,24.15671342,1.034258211,0.204706568,19.79259783,0.022556189,0.054299827,1.67E-16,90
siIkappaBalpha_105,siIkappaBalpha,0.390770475,0.105589941,27.02096195,1.070949444,0.253370437,23.6584872,0.017859137,0.059285464,3.89E-16,105
siIkappaBalpha_120,siIkappaBalpha,0.414855444,0.099546192,23.99539242,1.097045746,0.229850831,20.95180004,0.019584431,0.056003225,3.89E-16,120
siIkappaBalpha_135,siIkappaBalpha,0.412759603,0.100770243,24.41378522,1.082365551,0.225614048,20.84453333,0.03719029,0.056231017,0,135
siIkappaBalpha_150,siIkappaBalpha,0.427643666,0.104742545,24.49294898,1.111418126,0.237429204,21.36272559,0.029755623,0.058379692,2.22E-16,150
siIkappaBalpha_165,siIkappaBalpha,0.423430286,0.09617589,22.71351217,1.135803324,0.227899496,20.06504923,0.031353684,0.053974343,3.33E-16,165
siIkappaBalpha_180,siIkappaBalpha,0.44175,0.102171895,23.1288954,1.189235294,0.259957853,21.85924472,0.026545735,0.057464559,1.11E-16,180
siIkappaBalpha_195,siIkappaBalpha,0.44195339,0.107702964,24.36975635,1.144122881,0.260457796,22.76484461,0.02873394,0.060604982,2.22E-16,195
siIkappaBalpha_210,siIkappaBalpha,0.419291045,0.101084055,24.10832672,1.199616604,0.271090094,22.59806113,0.028795743,0.056689793,3.89E-16,210
