"","Condition","mean_DA","sd_DA","CV_DA","mean_Dens","sd_Dens","CV_Dens","KS_norm","RaoQE_DA","DIV_DA","TIME"
"siCtrl_210","siCtrl",0.421403908794788,0.0968912360966201,22.9924863235674,1.52871009771987,0.392361799938799,25.6662005781228,0.0204180450759129,0.055090473227977,2.22044604925031e-16,210
"siCtrl_225","siCtrl",0.4412464,0.095013073108591,21.5328834656988,1.6345056,0.414119393610228,25.3360645329222,0.024764193520922,0.0536142592,0,225
"siCtrl_240","siCtrl",0.439105882352941,0.102037363010753,23.2375304252331,1.68998319327731,0.42566121634174,25.1873047042719,0.0419151498115363,0.056821018956878,0.045864353980383,240
"siCtrl_255","siCtrl",0.430690231362468,0.096115106518719,22.3165281029624,1.63785089974293,0.422140093223544,25.7740245641286,0.0237599165371156,0.0543754221555139,5.55111512312578e-16,255
"siCtrl_270","siCtrl",0.42734554973822,0.0912022853211311,21.3415783496515,1.69710340314136,0.448346680058192,26.4183478289123,0.0255468010965432,0.0516778559127,3.88578058618805e-16,270
"siCtrl_285","siCtrl",0.430712802768166,0.0921528470241302,21.3954278655915,1.60906574394464,0.416134858965159,25.861892873625,0.0229265746600056,0.052231803694476,6.66133814775094e-16,285
"siCtrl_300","siCtrl",0.421502415458937,0.0944631812829764,22.4110652320043,1.6114806763285,0.433660118963816,26.9106620596805,0.0176245452692227,0.0532384835467949,1.11022302462516e-16,300
"siCtrl_315","siCtrl",0.418435510887772,0.0919869844817311,21.9835511299142,1.60135008375209,0.405883632595459,25.346339736308,0.0224936332785456,0.052015230385826,1.11022302462516e-16,315
"siCtrl_330","siCtrl",0.435926868044515,0.0909318236594249,20.8594216886258,1.66456915739269,0.395842587259106,23.7804831058589,0.0234362293468724,0.051245220585176,6.10622663543836e-16,330
"siCtrl_345","siCtrl",0.427103260869565,0.0970363293254035,22.7196414112693,1.67954528985507,0.451440004651688,26.8787038598192,0.0283080740791954,0.0548328729763839,4.44089209850063e-16,345
"siCtrl_360","siCtrl",0.429627760252366,0.0934108300872979,21.7422705721874,1.68269716088328,0.44919818306584,26.6951293142996,0.0249274596140902,0.0526830773045001,5.55111512312578e-17,360
"siIkappaBalpha_0","siIkappaBalpha",0.328269340974212,0.0856013327379805,26.076554235598,1.19888538681948,0.202296281915032,16.8736965300496,0.0316558963378127,0.0479246140556371,0,0
"siIkappaBalpha_15","siIkappaBalpha",0.423401294498382,0.0935527696620982,22.0955322710889,1.48101132686084,0.308801943105907,20.8507482356968,0.0397155240800048,0.0531750118014641,3.33066907387547e-16,15
"siIkappaBalpha_30","siIkappaBalpha",0.501018367346939,0.095603206416331,19.081776766505,1.79536530612245,0.416380935019187,23.1919895967282,0.0337141726107955,0.053771018375138,3.33066907387547e-16,30
"siIkappaBalpha_45","siIkappaBalpha",0.520904942965779,0.0933664694288897,17.9238977647834,1.77825285171103,0.360758960211392,20.2872701631982,0.0445122657917691,0.0523170449573761,6.66133814775094e-16,45
"siIkappaBalpha_60","siIkappaBalpha",0.516252086811352,0.100211239555568,19.4112996568257,1.79723038397329,0.404101857683137,22.4846998630056,0.0366599988602831,0.056350743272927,6.66133814775094e-16,60
"siIkappaBalpha_75","siIkappaBalpha",0.533875690607735,0.101388660138333,18.9910613878893,1.86094751381215,0.438082171432849,23.5408128483665,0.0457453646582007,0.057201772940043,3.33066907387547e-16,75
"siIkappaBalpha_90","siIkappaBalpha",0.542118794326241,0.0980237496214075,18.0815995769403,1.8583085106383,0.403191901295459,21.6967149957769,0.07241548882254,0.054612106576586,0.0555188529850444,90
"siIkappaBalpha_105","siIkappaBalpha",0.53108,0.0973743479380665,18.3351562736436,1.808728,0.396032550976754,21.8956388675773,0.0503076087363616,0.054213351942161,0.0459581819636204,105
"siIkappaBalpha_120","siIkappaBalpha",0.541694711538461,0.091475696006735,16.8869464770915,1.85358653846154,0.431277225813162,23.2671751150674,0.0438571690301364,0.0509421123281041,1.11022302462516e-16,120
"siIkappaBalpha_135","siIkappaBalpha",0.511083011583012,0.0975844169641839,19.0936530372882,1.83951930501931,0.452923038852843,24.6218149283348,0.0378985393227675,0.0549984337681921,4.44089209850063e-16,135
"siIkappaBalpha_150","siIkappaBalpha",0.51174081237911,0.0927362400087833,18.1217205596027,1.80323791102515,0.40313976007939,22.3564376954677,0.0472052054370163,0.0522202791010511,2.22044604925031e-16,150
"siIkappaBalpha_165","siIkappaBalpha",0.507915397631134,0.0997990843499447,19.6487613518703,1.76289001692047,0.391259972204316,22.1942360810343,0.0516584343767794,0.0564019345022002,0,165
"siIkappaBalpha_180","siIkappaBalpha",0.505964157706093,0.0982204431140436,19.4125298438824,1.71754301075269,0.404762014142748,23.5663393352442,0.0389095521745438,0.0556660319270579,1.11022302462516e-16,180
"siIkappaBalpha_195","siIkappaBalpha",0.50454693877551,0.10086648548698,19.9914968727735,1.7272,0.389609427414777,22.5572850518051,0.0428227931987496,0.056939490089117,3.33066907387547e-16,195
"siIkappaBalpha_210","siIkappaBalpha",0.506704834605598,0.0938793428954705,18.5274219790192,1.74935368956743,0.397349714361209,22.7140867356254,0.0377787317381613,0.0525794043696771,2.22044604925031e-16,210
"siIkappaBalpha_225","siIkappaBalpha",0.50379012345679,0.0973500263224655,19.3235281498755,1.76348395061728,0.404635360680535,22.9452250211236,0.0269508910485062,0.0547620373724801,4.44089209850063e-16,225
"siIkappaBalpha_240","siIkappaBalpha",0.503445012787724,0.0940363891346015,18.6785819197799,1.70802813299233,0.352134519352088,20.6164355580711,0.0249199017106729,0.0531397005864431,1.11022302462516e-16,240
"siIkappaBalpha_255","siIkappaBalpha",0.467065217391304,0.091823934579035,19.6597672359116,1.72395652173913,0.40779545867946,23.6546254813941,0.0417745073895303,0.05154966911005,2.77555756156289e-16,255
"siIkappaBalpha_270","siIkappaBalpha",0.469834158415842,0.0936091855768012,19.9238782238454,1.66439851485149,0.365941997461994,21.9864409993569,0.0407643807665244,0.052617162586442,2.16493489801906e-15,270
"siIkappaBalpha_285","siIkappaBalpha",0.458301939058172,0.0940621557009964,20.5240579811418,1.76472022160665,0.409080584096086,23.1810447394119,0.0442544674610787,0.052751656445027,5.55111512312578e-17,285
"siIkappaBalpha_300","siIkappaBalpha",0.481669158878505,0.0955397875931077,19.8351473894567,1.7339476635514,0.431818284656442,24.9037669206237,0.024808952885719,0.053977867449726,2.77555756156289e-16,300
"siIkappaBalpha_315","siIkappaBalpha",0.460387573964497,0.0907764108074452,19.7173894216453,1.67657692307692,0.368632884132839,21.9872335744851,0.0469907557091418,0.05134591778546,0,315
"siIkappaBalpha_330","siIkappaBalpha",0.480891304347826,0.0960332023785487,19.9698354930303,1.71743695652174,0.396772483199463,23.1025937629193,0.0415919517282465,0.054590703182498,5.55111512312578e-17,330
"siIkappaBalpha_345","siIkappaBalpha",0.487702272727273,0.0991553393217302,20.3311210274344,1.705525,0.392889748818484,23.0362937405482,0.0274264496929356,0.0554232713653741,2.77555756156289e-16,345
"siIkappaBalpha_360","siIkappaBalpha",0.480315245478036,0.0933162145978374,19.4281184027303,1.7749173126615,0.382210632032071,21.533996502572,0.0406113138772266,0.0521331578991359,1.11022302462516e-16,360
