"rep1"	"rep2"	"score"	"rep1rmsd"	"rep2rmsd"
"ADGRF4"	3	3	7.26946077309711	0.557	0.538
"ADGRG6"	4	4	8.358	1.193	1.165
"AKR1C2"	48	70	6.92687992370698	0.436	0.384
"AMIGO2"	100	100	7.36059566796785	0.232	0.265
"ANKRD18B"	67	67	6.93460690175159	0.415	0.312
"ANKRD33B"	66	66	6.98190444628876	0.335	0.304
"ANXA8"	22	22	9.63484815300354	0.387	0.338
"AREG"	71	71	7.05894288254393	0.51	0.283
"ATP1B1"	8	8	7.06307154425721	0.367	0.369
"BAG1"	23	23	6.92982836270376	0.434	0.385
"BCL2L11"	65	65	7.28477750977555	0.614	0.541
"BCL3"	38	38	7.11825235429685	0.26	0.325
"BID"	57	57	7.17942689680489	0.256	0.231
"BIRC3"	88	88	6.67712256764563	0.284	0.247
"CDKN2B"	83	83	6.90467967164416	0.249	0.217
"CLIC4"	64	64	7.04664775937106	0.275	0.247
"DMXL2"	100	100	7.57671688743493	0.464	0.45
"EIF5"	18	18	7.60374842334739	0.319	0.296
"ETS2"	42	42	7.32451017141654	0.404	0.492
"FAM107B"	77	77	6.88043995396998	0.332	0.273
"FNBP4"	83	83	7.42862059613866	0.648	0.648
"ICAM1"	29	29	7.24076011557656	0.216	0.239
"IL17C"	25	25	6.836	0.507	0.329
"ITGAV"	51	51	7.97006260069962	0.449	0.43
"ITPKC"	91	91	7.9781070894397	0.528	0.488
"LYPD6B"	69	69	7.22609548468195	0.285	0.241
"MAFF"	72	72	6.82792745880574	0.329	0.365
"NCOA7"	18	15	7.65728442987459	0.201	0.188
"NEDD9"	62	77	7.59116002635113	0.363	0.325
"NFKBIE"	20	20	6.67518354403214	0.197	0.205
"NKX3_1"	30	25	6.98279032863149	0.131	0.173
"NMD3"	61	61	6.91	0.455	0.455
"PCNA"	80	80	7.05026198163824	0.437	0.226
"PLAU"	74	74	6.88995568770845	0.381	0.339
"PLPP6"	60	60	6.94042117522287	0.374	0.335
"RAB9A"	51	81	8.46997228734565	0.472	0.447
"RBM3"	39	39	7.309730418728	0.378	0.342
"REL"	27	27	6.87640130368834	0.436	0.415
"RHOV"	69	69	7.19737053405034	0.321	0.295
"S100A9"	69	69	7.28415660623328	0.279	0.257
"SDC4"	95	95	6.74453588700928	0.181	0.233
"SDCBP"	78	78	6.69251954771159	0.268	0.262
"SPTSSB"	34	34	6.89450475986705	0.416	0.328
"TET2"	6	6	7.10799264459465	0.53	0.444
"TICAM1"	69	59	7.15370303251514	0.286	0.261
"TNFRSF11B"	13	13	6.68617695315364	0.276	0.268
"TXNRD1"	54	54	6.96874535734336	0.415	0.384
"VMP1"	47	47	6.99198665286207	0.479	0.464
