"rep1"	"rep2"	"score"	"rep1rmsd"	"rep2rmsd"
"ADGRF4"	4	4	3.021	0.529	0.492
"ADGRG6"	80	100	2.8019066709147	0.365	0.341
"AKR1C2"	50	30	2.99564852417037	0.531	0.462
"AMIGO2"	80	17	2.6259578997286	0.279	0.272
"ANKRD18B"	43	43	2.7196551631816	0.363	0.314
"ANKRD33B"	92	92	2.84492199874772	0.467	0.368
"ANXA8"	15	86	2.80938884283026	0.397	0.353
"AREG"	80	80	3.58464251661548	0.812	0.772
"ATP1B1"	84	85	2.82052813171176	0.377	0.352
"BAG1"	100	100	2.98307617831245	0.54	0.443
"BCL2L11"	72	89	2.62176278368271	0.225	0.297
"BCL3"	14	14	2.70862606028781	0.323	0.302
"BID"	29	68	2.62957237413914	0.288	0.271
"BIRC3"	93	93	2.61656003259783	0.328	0.281
"CDKN2B"	77	21	2.61479356950701	0.275	0.25
"CLIC4"	31	16	2.66013561293696	0.3	0.278
"DMXL2"	28	95	3.06152305804556	0.503	0.5
"EIF5"	32	99	2.80979768434079	0.387	0.374
"ETS2"	83	94	2.91299493573056	0.435	0.459
"FAM107B"	86	72	2.59342521103395	0.359	0.232
"FNBP4"	52	100	3.11135795692047	0.561	0.531
"ICAM1"	59	21	2.54260260081551	0.262	0.251
"IL17C"	37	18	3.07349372620287	0.56	0.512
"ITGAV"	14	85	2.98115611348365	0.453	0.453
"ITPKC"	81	81	3.03	0.517	0.513
"LYPD6B"	88	88	2.532	0.292	0.24
"MAFF"	80	39	2.74045528879964	0.362	0.33
"NCOA7"	27	12	2.48392596561843	0.189	0.181
"NEDD9"	9	9	2.74960497670343	0.399	0.342
"NFKBIE"	12	12	2.444	0.254	0.19
"NKX3_1"	34	33	2.43727559778997	0.189	0.173
"NMD3"	54	54	3.28294841779632	0.691	0.591
"PCNA"	99	99	3.67719502933098	0.912	0.765
"PLAU"	86	56	2.78893831477813	0.429	0.349
"PLPP6"	15	15	2.8774601756197	0.42	0.401
"RAB9A"	78	78	3.27100048880224	0.672	0.599
"RBM3"	48	85	2.87965428713479	0.459	0.417
"REL"	80	94	2.90210561294357	0.47	0.427
"RHOV"	52	17	2.76369870422322	0.349	0.331
"S100A9"	31	40	2.68742543942983	0.322	0.278
"SDC4"	83	49	2.53059867433902	0.228	0.208
"SDCBP"	78	21	2.62885259561139	0.297	0.256
"SPTSSB"	23	23	3.77	0.949	0.821
"TET2"	60	61	2.935518948661	0.416	0.416
"TICAM1"	52	69	2.684207477732	0.294	0.284
"TNFRSF11B"	53	53	2.6763745334177	0.328	0.299
"TXNRD1"	19	19	3.136	0.622	0.514
"VMP1"	100	30	3.21128185728104	0.624	0.583
