"rep1"	"rep2"	"score"	"rep1rmsd"	"rep2rmsd"
"ADGRF4"	71	71	6.03336646283802	0.489	0.454
"ADGRG6"	89	89	5.94426982241864	0.365	0.34
"AKR1C2"	91	91	6.02500012370816	0.551	0.474
"AMIGO2"	5	4	6.24485158150457	0.258	0.245
"ANKRD18B"	100	100	5.98023364707915	0.34	0.311
"ANKRD33B"	60	60	5.76534743635481	0.408	0.321
"ANXA8"	75	75	6.12158951875105	0.387	0.339
"AREG"	16	16	6.433	0.74	0.693
"ATP1B1"	55	55	6.05003217433759	0.362	0.337
"BAG1"	88	23	5.94400061731738	0.453	0.414
"BCL2L11"	42	42	6.01599446944602	0.327	0.311
"BCL3"	78	12	6.22012893446426	0.302	0.27
"BID"	58	58	5.88112720407818	0.244	0.222
"BIRC3"	97	97	5.92627668528644	0.32	0.273
"CDKN2B"	64	64	5.65146795501001	0.249	0.217
"CLIC4"	78	78	5.67064321684515	0.265	0.237
"DMXL2"	71	71	6.12877395332805	0.563	0.512
"EIF5"	97	97	5.6994163953525	0.315	0.295
"ETS2"	76	77	6.16680557668544	0.47	0.436
"FAM107B"	17	17	5.89983662284759	0.304	0.257
"FNBP4"	80	80	6.092	0.561	0.531
"ICAM1"	28	28	5.67721394469492	0.238	0.199
"IL17C"	64	64	5.93533059355623	0.496	0.427
"ITGAV"	65	65	6.14571674763981	0.454	0.421
"ITPKC"	73	72	6.23623538726407	0.527	0.488
"LYPD6B"	97	97	5.70966301631814	0.29	0.24
"MAFF"	75	75	5.86405219554965	0.361	0.324
"NCOA7"	10	10	5.74986929042492	0.186	0.176
"NEDD9"	74	74	5.99855256250944	0.362	0.326
"NFKBIE"	6	81	5.70010693510126	0.199	0.165
"NKX3_1"	78	79	5.90870542823506	0.178	0.159
"NMD3"	91	67	6.1801542003479	0.617	0.545
"PCNA"	35	35	6.25	0.652	0.598
"PLAU"	56	56	6.25490896336424	0.402	0.354
"PLPP6"	41	41	5.89184051009698	0.375	0.336
"RAB9A"	94	94	5.93798128477297	0.498	0.436
"RBM3"	71	71	5.74180297896842	0.379	0.342
"REL"	43	43	6.25301342808291	0.456	0.414
"RHOV"	44	44	6.02481291418028	0.319	0.289
"S100A9"	13	13	5.77654387426009	0.319	0.275
"SDC4"	7	7	5.99063827582708	0.208	0.18
"SDCBP"	96	96	6.21848027879959	0.297	0.255
"SPTSSB"	15	15	6.062	0.563	0.499
"TET2"	67	83	6.38237925664706	0.404	0.4
"TICAM1"	29	29	6.1540439007957	0.297	0.283
"TNFRSF11B"	15	15	5.84747106941257	0.317	0.27
"TXNRD1"	17	17	5.90846676502611	0.405	0.382
"VMP1"	90	90	5.96957169512171	0.483	0.467
