"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"1"	0.187	0.000246399920724661	0.0803748447364946	1.34972018267363	5.47277430492993	2e-05	6433.14156124941
"2"	0.186	0.000153765774730806	0.016458846524742	8.33812573156333	2.67117377493358	2e-05	6549.85373640935
"3"	0.207	0.000198009063673623	0.00707399714009501	0.0756323579695331	0.00105951310638066	2e-05	5877.0264840157
"4"	0.219	0.000176499696509985	0.00717314615686617	0.001	0.001	2e-05	5934.62386840938
"5"	0.184	0.000489585833341469	0.0628524837770435	99.9633792724609	14.3268070281719	2e-05	6133.95449887272
"6"	0.185	9.48414889388221e-05	0.0219753589559456	1.34897714010213	26.4299769608165	2.09411771122052e-05	5962.80012126999
"7"	0.184	0.000223037772933922	0.526028221324969	2.63881160412413	36.2065410169783	2e-05	6100.04945985075
"8"	0.186	0.00080306429915428	3.40430083323013	16.1154719393231	0.0100149100593473	2e-05	6702.23374543243
"9"	0.185	0.000147982055267754	2.18715908083888	1.08533414138455	966.091689576003	2.24676213842286e-05	6080.66802633111
"10"	0.188	0.0001598517954569	2.05958478369143	0.202073848366193	1.34307992215482	2.14489995974562e-05	6111.44883441501
"11"	0.186	0.000166913795038351	2.05005705850497	0.482714482319534	321.54434577811	2e-05	6183.36508648729
"12"	0.185	0.000161502917013137	7.60200080774908	0.86517379292343	138.952939893392	2e-05	6135.7839931848
"13"	0.184	0.000155165142044357	2.47532365836603	14.4922597363899	24.5017444320704	2.19769248518437e-05	6079.72987287722
"14"	0.184	0.000217350506840634	3.83987869316007	23.1114804860203	37.2326212690116	2e-05	6022.69835456168
"15"	0.184	0.000162856091670365	2.80834938815892	17.8230513281963	231.049754091723	2e-05	6052.96824267745
"16"	0.184	0.000159441890768726	2.04462422052332	228.756973799579	194.612123652429	2.17573894928232e-05	6103.61381996352
"17"	0.187	0.000215283922886959	57.0656798304968	0.614080325081082	61.489174953579	2e-05	6383.72735582403
"18"	0.187	0.000200696727847636	68.5697025832521	0.61249253842421	255.297198956966	2e-05	6410.9770800306
"19"	0.185	0.000144441348844113	6.62338792440494	1.7877674412055	1.2902242319769	2.28297603471909e-05	6034.23739456919
"20"	0.184	0.000149783266323202	9.69194838706999	12.7950048868376	24.4707445705242	2.20916705924171e-05	6079.0115774469
"21"	0.187	0.000322877193926423	0.0172309022243219	0.663113625049591	311.077635687292	2e-05	6258.60459812729
"22"	0.192	0.00182951345844946	0.0710198346453754	1.76128635707571	0.0228490606493307	6.70121638951804e-05	6821.57271784939
"23"	0.185	0.0004436295739154	0.0196045490942952	0.630782487690432	1.98614704250623	2e-05	6003.05024236229
"24"	0.187	0.000346604420303114	0.458416674097017	0.328578906087472	1.85833281071219	2.12200376379306e-05	6144.65411594319
"25"	0.187	0.000322982621393527	0.056230373861856	0.772938394072421	5.51172706081391	2.00196764421264e-05	6356.6648104349
"26"	0.186	0.000702017848225749	0.515822617042235	5.00037201634775	98.8123323039195	2e-05	6421.9758646368
"27"	0.184	0.000387868002143059	0.0140668926177352	2.1936269027529	41.0342837778854	2.01664050190289e-05	5981.57632636835
"28"	0.184	0.000410543706005576	0.537164933595313	14.6735670014046	19.2843104816046	2e-05	6131.3422680481
"29"	0.184	0.00597789324630416	12.507947794863	29.0930303156964	0.237256609631945	2e-05	6124.97783446206
"30"	0.184	0.00593386131194323	22.6963492394802	89.4801507766	0.245187519973879	2e-05	6090.37510538404
"31"	0.186	0.000155933105835487	0.708019081905237	0.47310625	0.024175	2e-05	6179.37200054476
"32"	0.185	0.000311291957331019	2.30666286571107	0.738713357055986	1.91253299975202	2e-05	6067.41526288893
"33"	0.186	0.00551716748725906	59.2343722718056	76.2320712679071	0.0249164243763213	2e-05	6501.343450833
"34"	0.186	0.000404778382265643	15.0390156128163	0.551542030853566	820.444132199275	2.01308801858185e-05	6043.90890193149
"35"	0.197	6.97448737801513e-05	0.745546341699661	1.06298797768446	0.0101587678521686	0.000115251452872366	6810.06048617181
"36"	0.187	0.000524435289443877	9.74413141682366	3.91557005221403	97.3415269578841	2e-05	6493.81474026736
"37"	0.184	0.000373727222092596	13.2700778379367	23.9982227967318	0.173938757657088	2e-05	6094.62766367054
"38"	0.184	0.000530371530004934	31.3483208725545	67.3615201104094	2.33893584942751	2e-05	6019.88810165471
"39"	0.189	0.00596620248849136	0.109502485215286	4.86165927611905	0.0104578231084774	2e-05	6433.26113969254
"40"	0.191	0.000687075	0.0171336298259229	10.32340515625	1.0440184375	6.48193401570115e-05	6892.65834668753
"41"	0.187	0.00599152692726158	2.01826300049884	19.6277633868886	0.00502278739525036	2.03729557496546e-05	6446.0404191881
"42"	0.188	0.00155683965811258	1.91501387162681	0.286501515649115	0.151079640649115	2e-05	6412.87060939177
"43"	0.188	0.00157708279442379	5.20090542781248	0.282201752712067	63.1704511439609	2e-05	6383.15328100923
"44"	0.184	0.00114477615792722	1.05151898493869	23.35378722607	2.58295069266326	2.12137387049618e-05	6131.74772637314
"45"	0.184	0.00128682107305527	0.778561301882442	21.7802306194067	37.1765624325037	2.00559275786171e-05	6019.55927909374
"46"	0.184	0.000906124536342215	0.0200100673408413	113.597908833621	190.004812565487	2.13236482619678e-05	6102.31333965678
"47"	0.184	0.000818687913197615	0.484121046063635	142.407033806437	200.488377430401	2e-05	6145.01373891215
"48"	0.188	0.000766380026062455	2.02755431033167	0.32779812167007	18.5438776531761	2.24854288714146e-05	6456.023513102
"49"	0.185	0.00070125	4.64246929744437	0.59730678153561	219.021759518528	2e-05	6063.62734804702
"50"	0.188	0.000351216461188265	0.261216690405079	1.58215399502011	0.0133511310469931	3.65732384492176e-05	6822.07222073474
"51"	0.185	0.000855337626882493	3.85248753803214	1.47879299637925	0.14681189826179	2e-05	6158.3131130049
"52"	0.191	0.000682433516448194	1.77833999586998	9.79644729812015	0.00980590598076433	6.69660498078627e-05	6889.72293193287
"53"	0.184	0.000831727532810415	2.63303101016619	163.954265020514	206.038641159657	2e-05	6074.88117247209
"54"	0.187	0.000870022630327599	14.213033225015	0.329988033457236	0.170519283457236	2e-05	6059.23675792748
"55"	0.187	0.000736931375965798	11.1277299012963	0.328773627519316	1.85977194612341	2.29357165606878e-05	6128.69852883992
"56"	0.186	0.00112693782931918	12.4404155377142	0.389125853194285	863.694151265196	2.14504584162047e-05	6083.86057814884
"57"	0.185	0.000935134084342228	13.0140242830007	1.37421775181779	1.37421775181779	2.15046922747126e-05	6164.38464688264
"58"	0.187	0.00180708061285406	9.9047325785129	3.98009079108033	97.3415348724628	2e-05	6493.81461299363
"59"	0.187	0.00441539269184285	0.00693147180559945	0.177926583325421	100.002409591745	2e-05	6076.77297433733
"60"	0.185	0.00554239562400008	0.0230212547262853	0.72503913161374	3.15983837949472	2e-05	6058.69639338192
"61"	0.186	0.00405901152196499	0.119488177141644	1.49618425394701	0.025306556670716	2e-05	6166.07427359132
"62"	0.192	0.00153717016703476	0.0179120593729377	2.40386565518747	0.215463834562303	6.70217010638844e-05	6822.068945808
"63"	0.187	0.00592728527621792	0.032102508955426	1.27627975760981	2.28008466275925	2.48360219263807e-05	6356.51686626806
"64"	0.184	0.00194308543133559	0.0194794818490871	137.060716507717	195.953189527246	2e-05	6093.64875682684
"65"	0.21	6.00722193438646e-05	0.00693593637006867	0.0326596878890618	0.00100935967129002	0.000123567035041276	5595.60971933481
"66"	0.185	0.00249185294439409	0.00693147180559945	0.390390041366676	622.851621920879	2e-05	5984.75308674711
"67"	0.187	0.00113857821226674	0.138367533735946	0.76515625	321.500470520019	2e-05	6445.84278168823
"68"	0.184	0.000320135321450652	0.00903871180819812	1.44749121486362	307.138825170409	2.00116604771166e-05	5964.20306302958
"69"	0.185	0.00467412676851425	0.298842146663462	58.2215002546753	25.7034118465106	2.53909508202925e-05	6152.70340104707
"70"	0.189	0.00177402309801093	0.616985446820387	0.171711313399199	0.0894643313900121	2e-05	6145.15898444294
"71"	0.188	0.00176908875589785	0.417418806862271	13.9641787578632	0.0117887957059447	3.65691489999874e-05	6821.53182469474
"72"	0.184	0.00156440177928972	0.548854626534881	6.58146587804937	1.36075295002821	2.04874571587093e-05	6130.86448698069
"73"	0.185	0.00154201642307939	0.407385923830737	39.4775913234559	14.3028369786047	2.23507278249193e-05	6158.98036052636
