"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"1"	0.498	0.000170969451821649	0.00815206801605755	0.001	2.99355570966731	2e-05	14.2683079958892
"2"	0.36	8.42276929336934e-05	0.00835143574592401	0.001	240.230572300738	2.12800761517866e-05	7200
"3"	0.35	7.0753949509712e-05	0.0072074965727811	0.001	0.00101192413821548	2.75877873607799e-05	7190.71438751981
"4"	0.381	8.4141483428942e-05	0.00693345862539495	161.46506758123	0.001	2e-05	7200
"5"	0.364	0.000760016965854791	0.110037824913347	0.00100000000000418	30.5324825774028	2.4420369749839e-05	7190.66682892308
"6"	0.364	0.000147954125377802	0.181890072102253	0.00100711725210585	13.7207642655408	2.08058666207897e-05	7199.96580299289
"7"	0.364	0.000160014303957544	1.35886109566476	0.001	23.9515649667973	2.56117200827821e-05	7200
"8"	0.364	0.00267885689494228	10.6142652836545	0.001	0.0274399866580862	2.01951379206284e-05	7196.13912702419
"9"	0.36	0.000159053125001646	0.00693147180559945	0.00101811486757999	251.598052783697	2.35573695756367e-05	7195.16936864533
"10"	0.36	6.40586511256005e-05	0.00693147180559945	0.0011931843322266	1.73012628127656	2.72732125750084e-05	7190.63348692235
"11"	0.364	0.000161023692213541	1.04338788847254	0.001	227.629581356401	2.13875673074143e-05	7199.12632557288
"12"	0.39	0.00016191586544577	0.00693147180559945	0.244527119264587	349.103157845427	2.05983999548172e-05	7188.918521232
"13"	0.36	0.00015988695075657	0.00784003406625903	0.001	13.4832645241652	2.12007488303076e-05	7193.78539762265
"14"	0.497	0.000149823844803245	2.09836746377781	0.001	23.0105766338615	2e-05	14.2212592718661
"15"	0.401	0.000150229672480227	2.09054385277926	13.106194430727	131.064740161843	2.12027949698914e-05	7192.25573683557
"16"	0.401	0.000155404324441258	2.21292670379716	138.771063625453	129.828789661176	2.02097247732821e-05	7195.35406172592
"17"	0.497	0.000142155288019466	8.85483445108298	0.001032958984375	22.6708737495269	2e-05	16.3433920973114
"18"	0.498	0.000135759776533342	8.16605511020024	0.001	231.355298862378	2.00000002496341e-05	136.194736393702
"19"	0.364	0.000138369774969618	8.97556797601209	0.001	1.95095049407299	2.21400043773412e-05	7197.66472427564
"20"	0.36	0.000168897285342116	0.00693147180559945	0.001	13.4537846619352	2.22613341727171e-05	7199.41388115941
"21"	0.499	0.000114975876233546	0.019855517124419	0.001	237.352052833802	2.25747735831127e-05	145.474645176046
"22"	0.379	0.00598704448621408	0.135874538896947	1.52702287776584	0.0010230712890625	2e-05	7191.83155122909
"23"	0.363	0.000343402556346297	0.0286357937947998	0.00124568057975685	2.71136228330673	2.12448358506506e-05	7197.07176805233
"24"	0.36	0.000107860620408602	0.00693147180559945	0.00103089485954721	0.187930091314044	3.46713171521356e-05	7192.90265951228
"25"	0.498	0.000102830117032917	0.152768289852761	0.001	2.31384849318384	2e-05	149.331131688549
"26"	0.497	8.80583609192455e-05	0.152938804414105	0.001	23.3894271890469	2e-05	14.4067523257643
"27"	0.364	0.000329657583441391	0.458892378342766	0.001	226.905742101221	2.06882113112058e-05	7194.81870363955
"28"	0.401	0.000348778166925075	0.455948577407216	12.4005328773432	12.4281945022498	2.07371016074537e-05	7190.44855162041
"29"	0.364	0.00595463511671351	9.0546914171354	0.001	0.175741996082736	2.12465909483848e-05	7197.37045851054
"30"	0.364	0.00595505880842591	10.585877664962	0.001	0.25503739123826	2.48484390645037e-05	7199.76615643006
"31"	0.364	0.000350097045287356	2.1584875620134	0.00100096743578303	0.0206551084093719	2.01790571660154e-05	7196.17986247051
"32"	0.364	0.000366797876249065	2.099891048791	0.001	2.24663165122402	2.48240356507263e-05	7199.48502817415
"33"	0.498	0.0041741095063722	23.9224655746038	0.001	0.0273036149130849	2.06854625081059e-05	150.126020664293
"34"	0.364	0.000357359538253117	10.1592483067777	0.00112900727220839	224.934986605172	2.02533688414709e-05	7199.09637870721
"35"	0.364	0.000356053322489731	9.28997720808161	0.001	0.0206375768035423	2.01787493737025e-05	7195.53974348026
"36"	0.498	0.000342050119920543	8.94563703337928	0.001	25.0109749513401	2.0389483408254e-05	150.694853647046
"37"	0.364	0.000328753073822957	9.1939085784043	0.001	0.215584229887458	2.19381539380204e-05	7196.30563049122
"38"	0.364	0.000526760648748319	16.0072060445157	0.001	2.238884875	2.04902347460019e-05	7199.0847713518
"39"	0.4	0.00598522015308421	0.214387207994269	15.7609017101503	0.0105948532622678	2.11926904524626e-05	7194.52598262378
"40"	0.364	0.00355237220784135	0.0611420495532863	0.001	2.18347531496587	3.25680030494598e-05	7196.2207960016
"41"	0.364	0.00577236640204726	0.66580374585775	0.001	0.199629592232825	2.12053782180673e-05	7198.76702648874
"42"	0.498	0.000758196486533381	0.541475961922347	0.00107757618583694	0.0215145815970791	2.02428175790379e-05	150.641580204317
"43"	0.498	0.000737116263582116	0.459885610157878	0.001138427734375	21.9373875054435	2.02032900317238e-05	127.831546691245
"44"	0.35	0.000838271367906248	0.00693534654272274	0.00100000000000033	0.001	2.02874273925129e-05	7200
"45"	0.36	0.000788336935958319	0.00693147180559945	0.001	21.3787124513952	2.19655362846887e-05	7190.64934195043
"46"	0.401	0.0007598345824205	0.447153444169008	129.611540742359	129.603632828605	2.18174959486331e-05	7199.61707115842
"47"	0.401	0.000753742388115269	0.443308614167094	128.486494307553	128.475850039726	2.01064669474405e-05	7193.59713738015
"48"	0.36	0.000828849360374754	0.00712671638452985	0.00101097290997409	2.52494513577814	2.21452564884135e-05	7197.07388951194
"49"	0.364	0.000777872659006214	1.04430185479837	0.00116495092111941	227.692509098862	2.03196503284363e-05	7199.44949436751
"50"	0.364	0.000951401764122974	1.83226204249033	0.001	0.0216645198678178	2.1394435831413e-05	7199.47631429218
"51"	0.364	0.000776292137601788	2.33108564963017	0.001	0.228183806255112	2.14604209404961e-05	7195.48718610872
"52"	0.364	0.00347976984567175	9.58949913382335	0.001	0.0206714484202318	2.13398020689215e-05	7199.49136618778
"53"	0.401	0.000752812224612172	2.06229763790632	128.318133417378	128.220158388188	2.01082544773113e-05	7196.96468057092
"54"	0.364	0.000724304849962143	9.27549160613813	0.00112293788238903	0.0221466880780471	2.03454064124927e-05	7199.4261024566
"55"	0.364	0.000792603337203593	10.1108310739222	0.00110910049312028	0.22271590408538	2.14224749198143e-05	7199.39455400187
"56"	0.364	0.000733417032049814	4.21927895617501	0.00101131038689205	224.221881789678	2.28783905413201e-05	7199.51788661907
"57"	0.364	0.000797947421880584	9.28646608312172	0.00115635736155317	2.34967133038456	2.12919450552603e-05	7199.40910397444
"58"	0.498	0.000758297166463386	9.03165043828027	0.001	25.1028902368636	2.03589427835673e-05	150.697036200606
"59"	0.36	0.000134973150625297	0.00833215832601652	0.001	22.7840368434313	2e-05	7199.06215388774
"60"	0.36	0.0023886392494678	0.00707186345779857	0.001	2.38349866630863	2.66028503444383e-05	7199.61622363533
"61"	0.366	0.00586033696969739	0.00716197982673573	1.48962707439031	0.0011158971786499	2.05723574581874e-05	7192.44652039204
"62"	0.362	0.00169523335978255	0.0176631662403968	0.001	2.21724502418264	2.00074293544879e-05	7199.53251081019
"63"	0.363	0.00516521865374121	0.0312870949079384	0.001	3.17289974411537	2.31633785293018e-05	7200
"64"	0.362	0.00171826999236902	0.0176457759923109	0.00100000000000418	294.044172747823	2.0390621764624e-05	7200
"65"	0.379	8.4654163342902e-05	0.00694799284139893	0.0444960633348108	0.115213226989521	2.11554096231308e-05	7197.36576027395
"66"	0.36	0.000222685653598483	0.00693147180559945	0.00161242763615196	166.639465217509	2.26758383366587e-05	7200
"67"	0.498	0.00167533582735398	0.0956952671451951	0.001	224.743879552338	2.10510124285763e-05	146.947960954148
"68"	0.395	0.000175738208202335	0.00693147180559945	1.77811407904347	146.559945856437	2e-05	7200
"69"	0.364	0.00258110633061522	0.241982083262089	0.00100000000000418	30.0137026100833	2.49253026423786e-05	7199.37532914774
"70"	0.364	0.00170851768782091	0.500180769969967	0.00122479781429597	0.0220635020501077	2e-05	7199.99999634469
"71"	0.366	0.00594672524145445	0.00693147180559945	15.0746987611259	0.00103487730026245	2.20607754270772e-05	7200
"72"	0.398	0.00154304806018349	0.542631568050255	0.611049398277464	1.95132085493509	2.52042172743823e-05	7197.65672058331
"73"	0.401	0.00153631237078874	0.604756995680563	79.2565737527543	19.5520625662787	2.05007202431983e-05	7197.7882651454
"74"	0.364	0.00186379864566178	1.0857915684444	0.00105602197081878	2.19388745661137	2.14787195356108e-05	7196.29853895243
"75"	0.364	0.00171412335722552	1.06947864944686	0.00101432669369814	223.668737138635	2.06810726546548e-05	7196.09153887411
"76"	0.364	0.00185540571079415	1.06908534960748	0.00112894269096025	235.950693741951	2e-05	7196.0915388841
"77"	0.498	0.00164929414504637	2.51684471652939	0.001	0.216081443874064	2e-05	152.538107264609
"78"	0.364	0.0015919261781694	10.191440560316	0.00101381328314665	2.13358162354622	2.12403477229086e-05	7199.48349079249
"79"	0.36	0.00154562673603932	0.00693147180559945	0.001	252.7755001935	3.16050704052615e-05	7200
"80"	0.363	0.00580900732120577	0.0246329924182801	0.00112178606918888	0.213205239790824	2.18163363391657e-05	7197.21953474036
"81"	0.352	0.00459232057202422	0.00694274159675117	0.001	0.00100481043493836	2.18845549220267e-05	7197.65785670121
"82"	0.363	0.00347908967661517	0.0191673228987752	0.001	22.3581805068205	2.58223086513096e-05	7185.07430890203
"83"	0.399	0.00466423864511153	0.00855177377696657	13.9602533258271	130.187054213492	2.33360251611653e-05	7197.73657764511
"84"	0.366	0.00597705658144814	0.00711603790277972	139.681156503918	0.00101117374477391	2.99883651431956e-05	7197.09127918206
"85"	0.363	0.00572234314612861	0.0274551992985897	0.001	21.7138860256744	2.25337122370345e-05	7196.21070136019
"86"	0.364	0.00337272484071924	0.168126111391176	0.00100001886233871	0.157241984544998	2.78301487512748e-05	7200
"87"	0.364	0.00356199925607897	0.104597815361036	0.0012550063810602	0.249944384576801	2.12023149380086e-05	7195.60392085768
"88"	0.498	0.00345395661466238	0.0930910506976052	0.001	2.37607627512826	2e-05	136.194738720857
"89"	0.364	0.00337255761228974	0.811536960519977	0.001	2.03908985066498	2.29275091634485e-05	7199.29640762564
"90"	0.36	0.00410567788764671	0.00693147180559945	0.001	223.936260625	2e-05	7199.80847614784
"91"	0.364	0.00356215886524607	2.68217004655531	0.001	0.248637030833967	2.42558512489303e-05	7199.38264891437
"92"	0.364	0.00479963070302377	4.45512231031902	0.001	0.0285228846200093	2.06496643270032e-05	7194.51556492286
"93"	0.364	0.00581710354748205	4.23733593272897	0.001	0.027301880262922	2.12204003127045e-05	7195.38017057864
"94"	0.364	0.00572763483487766	3.65065426446164	0.001	0.00235067406354854	2.1952886627845e-05	7200
"95"	0.498	0.00581487397586765	4.23349731094155	0.001	0.288813789831536	2.06091494193445e-05	174.322769687897
