"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"1"	0.224	0.000149105954075292	0.0180626069193986	0.00695230494162178	6.19647160470545	0.000744914324247618	1028.59628462179
"2"	0.235	0.000192664046324885	0.00954134987863864	0.001	276.218606181756	0.000669457468000569	997.14294349579
"3"	0.877	6.6009632186594e-05	0.110594335695361	227.262420711029	0.0105914168948308	0.000434346852528844	6921.13534977138
"4"	0.88	6.27999646501389e-05	0.0122467833686222	120.559057021711	0.0974522091053784	0.000400591090052533	6857.38175511851
"5"	0.911	0.000156564104854245	0.00769745121198533	140.29496710756	10.1457122553149	0.000223047972518467	6792.91849739973
"6"	0.425	0.000466709096922744	0.0972509538068882	2.69871002924314	19.3859782051385	0.000202145460871967	367.048848098613
"7"	0.414	0.00016660316458995	0.442157877422323	1.55456549841801	11.0436746478299	0.00043237081016318	1223.3592817316
"8"	0.907	0.000178272075964642	0.628450499437363	9.80454001447757	0.00827416399812076	0.00020109581683414	6666.16538611351
"9"	0.425	0.000455103088369658	2.5531032482539	1.51858921951856	959.785616340122	0.00019459027303626	334.616310765347
"10"	0.414	0.000119538858664804	2.28778200413503	1.68495587829691	7.57639739539045	0.000465481773593442	1242.46485136138
"11"	0.283	0.000274291939337168	14.0345004693168	0.01028125	294.604421039908	0.000354250963183132	545.700926775388
"12"	0.426	0.000172870195072792	2.24230616222852	1.81908960397031	936.113533105573	0.00018804368801871	173.955829355723
"13"	0.426	0.000200405997428036	2.42134410223657	14.2839197700364	13.1819201534431	0.000197418808312283	303.755909249613
"14"	0.235	0.000228154022184833	3.89535365070514	0.001	64.5486207282177	0.000730754889528655	1074.97715319578
"15"	0.419	0.000207190422979065	4.01123305896313	23.1236875	324.99775	0.000436720139613152	1300.47771133667
"16"	0.426	0.000411402259507593	5.33526254815654	332.662716764666	259.74389818332	0.000200897179922384	277.272925228262
"17"	0.223	0.000202707855574533	16.4591478552058	0.00740157694079319	47.8306820477625	0.0007701635	1206.33426327856
"18"	0.233	0.000135759776533342	8.16605511020024	0.00156222534179688	205.468839710236	0.0007701635	1193.0472904521
"19"	0.427	0.00017633796593659	10.4851998751543	2.81269207703268	1.96702357721408	0.000183210766735694	52.2421559280018
"20"	0.426	0.000186837773313052	9.45449702742318	12.730697656609	12.8227617320596	0.000197394627482629	362.973185311268
"21"	0.234	0.000319463204394911	0.0229528080125011	0.00133837890625	122.926357067566	0.0007701635	1074.5907712383
"22"	0.907	6.23995475511444e-05	0.0573180726496763	9.05294142418866	0.0465887257171905	6.70297371517288e-05	6822.01238747598
"23"	0.266	0.00026346271798053	0.00693147180559945	8.80555934114191	0.001	0.000451859114948228	1086.588515068
"24"	0.406	0.000442366827529342	0.483889837397542	0.6236171875	3.55846203613281	0.000500694992170806	1409.84523951194
"25"	0.224	0.000547970798445799	0.773638106147838	0.0082991412760043	5.52542273037907	0.000734444443878764	1172.74764562013
"26"	0.232	0.00595041590726151	0.00693147180559945	0.001	64.3423203050174	0.000766763043658694	1065.80824292093
"27"	0.282	6e-05	0.806617534992031	0.001	249.550317730326	0.000440162819182567	345.268221921293
"28"	0.419	0.000775230806851761	0.760512422170616	21.248875	86.8673125	0.000434658513231449	1233.02545339782
"29"	0.409	0.000264836037916567	0.399709274996908	251.24136614232	0.0210679079627032	0.00010758750301794	1726.89605131745
"30"	0.404	0.000215153751143739	0.340287118214757	325.646316310097	0.001	0.000122055064072544	2171.95220083607
"31"	0.421	0.000498689431085061	3.48781281817053	1.19285817189255	0.0666363800085356	0.000251411114679624	447.268898522431
"32"	0.224	0.000381435405791532	2.2852323044797	0.00640049376308036	1.28150158366319	0.000711863153473667	1085.74266993015
"33"	0.235	0.00266231352039501	25.1229746690667	0.001	0.02940625	0.000759271034616824	1165.49379684487
"34"	0.422	0.00106768015360968	17.2339199414421	1.09334637033504	851.273916829318	0.000218489409973492	328.642485528691
"35"	0.245	0.00260659402982455	16.5024893074443	0.001	0.0148746455003112	0.000520780897531186	961.95082810951
"36"	0.245	0.00193769424233159	8.16605511020025	0.001	53.1206875	0.000762722808478073	1352.02007183336
"37"	0.88	8.052668602689e-05	0.00874118317015934	56.0052361263752	0.314160932079609	0.000512416070207564	6874.75921417421
"38"	0.429	0.000288009220026282	0.884789352996526	45.6885122074546	0.206074223950767	0.000169451973570059	364.260709242532
"39"	0.399	6.20263555259805e-05	0.0372623905607816	21.4389703375656	0.00720093708474433	6.33313445181133e-05	2149.0111889693
"40"	0.238	0.0055166054082128	0.0182216132857794	8.26667091972402	0.001	0.000609617537468317	849.324002759478
"41"	0.333	6.55381243462181e-05	0.00709156996009346	23.7943328990244	0.00127366730632669	0.000175559008425156	632.140704775698
"42"	0.223	0.001663125	2.98941382465869	0.0083125	0.025609375	0.000750855435553444	1131.82263179648
"43"	0.223	0.00166139746988125	1.08001346747971	0.00848525301187515	93.4025564587405	0.000757563910757827	1134.38666988123
"44"	0.406	6.17008161236447e-05	0.00705045014908663	12.1707589942761	0.273491161689768	0.000100791479126579	2271.6241385185
"45"	0.423	0.000692358620253593	0.553421503350733	15.1521573532567	22.0011278960487	0.000265379802071123	610.780154858446
"46"	0.426	0.00267201027365412	1.1374732307011	332.860322205415	242.572253576541	0.000200073064532544	309.841778083833
"47"	0.408	0.000119846988809914	2.91820117974641	361.579231534882	0.001	2e-05	1646.45238096637
