"V2"	"V3"	"V4"	"V5"	"V6"
"1"	0.903	2.19214558882653e-05	0.00548974361119378	0.0321071969074607	7198.04893674012
"2"	0.903	2.10399199869742e-05	0.00548645989646486	15.1305257024955	7198.51951873861
"3"	0.932	0.0019011039390103	1.18055831726955	0.702862113609898	7197.67129277625
"4"	0.195	0.00145887673266662	0.956321181819264	736.332915260379	1177.50704026508
"5"	0.198	0.00117608668250345	1.08726724297308	340.740863753385	1031.39416053195
"6"	0.196	0.00121725929290056	3.19988814096345	0.21003028417762	1092.69566563224
"7"	0.903	2.07724782469041e-05	16.9423464015978	40.3709114682654	7198.45693843771
"8"	0.195	0.00138056298714239	124.974412359093	269.607340032026	1182.29484414234
"9"	0.198	0.00177179059945036	125.517731016633	3.48647267820743	1253.65853070058
"10"	0.199	0.00183634801117047	158.946239309413	29.0103275915461	1286.1178322928
"11"	0.195	0.00132469581542635	5.82791386083703	712.600694824845	1102.83030485423
"12"	0.195	0.00132214571786736	0.900821716447037	0.299011465419158	1120.2204652733
"13"	0.198	0.00171160965156506	659.496964405836	929.127335763404	1276.410568133
"14"	0.903	2.28942775759523e-05	0.0461499950100546	488.596868906711	7197.65779074048
"15"	0.902	2.83099537260576e-05	113.904308212951	0.0129330474563809	7199.574876574
"16"	0.242	0.000757815375764068	867.504591677744	92.627364913426	875.873774168277
"17"	0.899	2.68572765316315e-05	969.17417788639	0.458741144223461	7199.55450707353
"18"	0.204	0.00102873258467041	10.0121315258998	2.80157366459169	1034.2551462756
"19"	0.282	0.000633750703238875	0.144490674018677	0.0282382849109569	756.114272368659
"20"	0.213	0.000925542767781406	10.2547171148144	0.308721421768805	946.804788651664
"21"	0.201	0.00198509256063852	726.87361389416	32.0797549134468	1314.54536869666
"22"	0.201	0.0019924079540882	3.56119661520315	12.4778594268183	1315.08596364489
"23"	0.903	2.65177117025525e-05	1.0396516418679	0.152257092485209	7198.05518408493
"24"	0.267	0.000673406551477982	0.532661929125699	150.88154077354	822.52201652512
"25"	0.327	0.000689265813378727	21.5014818211042	45.2147217922728	333.472822348265
"26"	0.201	0.0019943551983631	77.4847114636682	56.8092138717977	1292.14670683663
"27"	0.207	0.00099136502704158	6.95260294029941	0.102223271274046	1017.98760894244
"28"	0.214	0.000924037048777976	44.6789284830712	0.461289272046532	969.053118968348
"29"	0.905	2.49841505811719e-05	601.197025413722	0.00652328011659726	7200
"30"	0.198	0.00114598451768009	0.752800328178302	0.0368542134013819	1050.53174056933
"31"	0.517	0.000213118311751851	0.0145581174936721	0.00178390403086273	364.162695599733
"32"	0.518	0.000210849194322345	0.188312468983462	0.00277642472925276	298.833028035054
"33"	0.903	2.12122765437314e-05	0.00119296723204004	0.00734479170950082	7195.4510845776
"34"	0.935	0.000888882962305703	0.0135803519932704	167.315054469341	7196.82024054858
"35"	0.932	0.00198502364808909	0.056114871023069	0.00952626520596973	7196.93594481854
"36"	0.241	0.000780404754503033	2.37871645283146	0.313495146528086	781.968839269076
"37"	0.899	2.01407968298094e-05	24.0355478019969	0.00707532903316805	7194.98984565656
"38"	0.903	2.12672231059317e-05	0.216703589017289	404.717963753651	7193.30778780962
"39"	0.903	2.15641345964548e-05	108.655725133134	212.492122547614	7194.34430579828
"40"	0.904	2.10600736718042e-05	690.637849009974	0.0242893024027414	7196.96496828318
"41"	0.201	0.00107861108316931	339.276965873075	26.5886454278836	1067.47608942093
"42"	0.903	2.10211505664026e-05	995.326446816169	765.23357007262	7196.17617993486
"43"	0.932	0.00196592795714489	477.836876199908	6.75925924251973	7192.95253724209
"44"	0.903	2.13965788757506e-05	0.0500320252093193	0.00702126437769833	7191.73683919739
"45"	0.198	0.00115679039433122	0.0977978804996021	0.289701034584882	1044.1232888641
"46"	0.201	0.00196393506407447	4.15022955718521	9.16533814590991	1255.49767827931
"47"	0.2	0.00110030099811318	41.2512003068432	2.80447565358984	1022.31204841909
"48"	0.932	0.00187068893871249	81.9543098821558	392.157624489714	7197.27725908518
"49"	0.197	0.00169315257441389	931.767221464328	599.147505704414	1210.40489207911
"50"	0.198	0.00176145369713229	0.0214533500793718	168.087648640095	1250.43496958305
"51"	0.201	0.0019821964996822	0.0199084572170488	12.3282330336233	1313.9229750429
"52"	0.932	0.00193519152378199	0.534050785536164	70.196842160779	7196.37710130112
"53"	0.198	0.00176184052248159	0.558739700074143	830.300004291081	1253.26028617874
"54"	0.932	0.00196376402475439	11.3648509491951	0.708268619044725	7197.81831426241
"55"	0.201	0.00198523075200858	52.6329963101567	969.059998682555	1284.47067370131
"56"	0.201	0.00199537937095488	2.70414157793528	0.176633589184024	1310.08423585371
"57"	0.899	2.59014018113619e-05	961.180076814871	0.303565160687157	7199.73895795582
"58"	0.201	0.00199394931262834	942.472742355575	182.884147593802	1286.10221457459
"59"	0.899	2.00554770146599e-05	173.008938981972	0.0465047459528562	7196.53560853175
"60"	0.198	0.00176852319986466	0.0165256114124649	87.4630609773581	1259.67736288702
"61"	0.199	0.00185739505942423	0.0556344501003814	0.0740379761576026	1260.80839691607
"62"	0.932	0.00188620945204464	0.0346181711674654	0.70239108077837	7191.74137793195
"63"	0.932	0.00191065252577714	0.0551538494271491	23.7945826921287	7196.82687796696
"64"	0.932	0.00191442476614175	0.270195879125197	0.151054476213696	7194.64486649145
"65"	0.196	0.0016201883894011	1.60824883958178	0.0547418116138311	1209.79897423976
"66"	0.195	0.00126416408859884	0.274572319769354	10.796965347914	1102.5051137871
"67"	0.198	0.00178424082300946	7.4463266417417	130.437050249819	1242.95695485025
"68"	0.201	0.00194410913893836	67.1697497239233	0.766076080745324	1307.90726456982
"69"	0.197	0.00164875196814088	149.914590721578	3.46325665593103	1199.50988944066
"70"	0.905	2.05811030167999e-05	488.070639756839	0.00152032370996785	7196.73324576814
"71"	0.204	0.00102571832025174	4.98890560860874	3.09485709502354	994.316343349001
"72"	0.932	0.00190833561323976	567.959202994747	22.6770624188319	7196.83245036549
"73"	0.932	0.00187514017921829	355.129209370679	23.7213321393531	7196.90050851614
"74"	0.2	0.00113880940812734	19.3000159944397	690.683073099495	1010.02540328876
"75"	0.195	0.00152860004233883	0.0111641458764711	66.2779166520864	1188.90294416991
"76"	0.903	2.20432438126414e-05	0.0275775243434425	0.00124777918644937	7194.34487191292
"77"	0.199	0.00180880477122816	0.0461464495690203	1.94407331046962	1286.18766364226
"78"	0.932	0.00183984764730487	0.235440475789039	5.10209880483606	7197.28867332399
"79"	0.196	0.00154463623812758	5.44746794350031	0.0635265499345335	1186.2124859687
"80"	0.905	2.26800911239215e-05	574.753536188693	0.00657107175110142	7196.13470721696
"81"	0.228	0.000994380475415449	0.001	0.0139178328948744	783.157344590994
"82"	0.196	0.00161030843761962	887.634623171407	82.462073743042	1186.70957766303
"83"	0.932	0.0019209443322285	0.00776246225598169	262.884305662355	7193.25201444736
"84"	0.197	0.00167611716200114	0.00846995773398787	0.00363207946151078	1213.5485763778
"85"	0.196	0.00121480369295563	0.0311368653777753	0.0209670293999978	1083.2673115708
"86"	0.198	0.00171142825503106	17.6596763160559	0.145562961462627	1226.04565328676
"87"	0.415	0.000627485550546532	637.74355881217	368.049508253182	0
"88"	0.198	0.00165965162999494	0.263069174353853	0.0230814713191812	1278.11994813366
"89"	0.195	0.00147048133967584	338.469549635476	233.612701938	1156.96463427726
"90"	0.195	0.00134644556697458	0.0013413989531512	8.22727135433	1137.5515404127
"91"	0.196	0.00157928100062395	0.00735491161798001	0.746565668027524	1228.84832181836
"92"	0.932	0.00198640738197513	0.0220878792279228	8.04013734326367	7182.74161758116
"93"	0.932	0.00190811340657239	0.621214609974285	0.152146637541507	7196.49870207314
"94"	0.932	0.00189998628767185	0.748059904205558	0.00656356816489159	7199.61336149663
"95"	0.198	0.00175260032776853	12.1354390392387	4.77683553747229	1272.10578279561
"96"	0.932	0.00191667234703092	13.2506291439869	105.017236541462	7196.50050241688
"97"	0.221	0.00103695373446046	0.001	0.0192555131848066	827.703378398264
"98"	0.198	0.00175525409631621	6.70833343692033	0.806255812413983	1248.05220388365
"99"	0.195	0.00133622234947047	632.582334492908	106.279414510657	1138.95292177925
"100"	0.196	0.00160381860934149	898.550578114419	930.204712444083	1199.67962288064
