"V2"	"V3"	"V4"	"V5"	"V6"
"1"	0.427	8.24675424874259e-05	0.281936153676438	724.891763357513	2320.90734442603
"2"	0.427	8.16197076577757e-05	0.974833556739527	0.0139753636105446	2317.18182688113
"3"	0.427	8.16675382106812e-05	0.0352071795125951	0.0070797457561791	2312.74809780757
"4"	0.427	8.29486098609573e-05	5.23965194200685	17.3079844476984	2323.23379092938
"5"	0.5	8.16014215949158e-05	88.776352045683	0.005910236829519	2320.21040268301
"6"	0.427	8.24188250443319e-05	0.244427295872275	0.0158953792632976	2322.66208596713
"7"	0.427	8.26640662930998e-05	91.9960170026677	380.146787009413	2323.36474532791
"8"	0.427	8.1704147057566e-05	0.00962513379709957	0.00409081092708099	2322.61542983215
"9"	0.427	8.20274626635187e-05	0.00953779853603487	0.22532646813145	2319.57657813024
"10"	0.428	8.52469156748907e-05	0.00989369591687759	396.404301698976	2305.70252409937
"11"	0.427	8.21533489447427e-05	5.7158356020043	0.123116883274334	2320.22974885661
"12"	0.427	8.21031799825602e-05	4.80638564665086	1.83506278111417	2316.11716897866
"13"	0.5	8.16353631081558e-05	88.8617148226698	0.00591438636524846	2320.80586517802
"14"	0.427	8.1676623610117e-05	119.747765272387	141.874406613258	2319.28818430593
"15"	0.427	8.17041469925005e-05	0.320360555798901	0.00651245150629165	2323.21691166926
"16"	0.427	8.20057249157404e-05	0.00990975639535435	0.00959164083207302	2315.17234277237
"17"	0.427	8.19175683445955e-05	0.00924696626340153	0.76688532447122	2320.26607213566
"18"	0.427	8.21381265469377e-05	0.0474124972980892	0.00408235858379089	2317.80746742787
"19"	0.427	8.16014226140569e-05	0.033408346971968	3.2986712981053	2313.33354605999
"20"	0.427	8.17962460855559e-05	0.0472919030096028	70.1189447670233	2318.14026590998
"21"	0.427	8.17334101780886e-05	1.10126549543764	0.085676918744151	2317.89384634979
"22"	0.427	8.1787989307554e-05	1.09033194598612	0.112226960507711	2318.96129358918
"23"	0.427	8.16539440011036e-05	0.210251629434226	0.037124553533097	2323.09434907405
"24"	0.5	8.16014211841762e-05	450.423026055338	0.0299617229790642	2320.04062592605
"25"	0.427	8.27484700288213e-05	0.0278935918302001	0.00651290804321683	2322.92089492882
"26"	0.427	8.17913022521025e-05	196.228073974079	4.93660640846011	2322.66485823516
"27"	0.427	8.19100180067206e-05	0.00967465590600684	0.759877961431517	2322.83078394646
"28"	0.427	8.16014211841762e-05	0.0325331507815754	0.556186900522758	2315.57441689862
