"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"1"	0.45	0.000179013678611161	0.0410075742116701	0.001	0.0252212069468163	5.40788341100352	0.000755395660557379	2006.24810995773
"2"	0.45	0.00062973878360147	0.168090111017206	0.001	0.0253035871944194	0.670256313930609	0.000768204901568221	2006.16379234149
"3"	0.475	0.000169980135853956	0.0396269496635769	0.737464479018439	0.477749260180501	0.00332208266701541	2.05361363237951e-05	1291.19842884798
"4"	0.479	7.75610380972132e-05	0.0282772137049471	25.0131232530387	0.124453853153334	4.1529107221565	0.000765232006492593	1688.76646472259
"5"	0.475	0.000182382296561609	0.0418876878884709	0.883817320424592	3.39893978296575	0.0132119650119971	2.04878778328826e-05	1295.73440332055
"6"	0.49	0.000169931781634793	0.0397663350558119	2.25444107274713	23.3966340394349	0.027052751557697	0.000387405282903681	3136.3215393005
"7"	0.49	0.000170022496064332	0.0362164281007437	3.32525724846053	41.4571599535233	0.913431051188936	0.00037624556002816	3147.12278190162
"8"	0.491	0.00017007964955259	0.040122511433573	18.6180750790101	8.51376999948181	123.262311476867	0.000380422529231991	3091.50887339467
"9"	0.479	0.000169835555388094	0.199483687455636	0.001	0.0257138304429488	1.02672338543716	2.01674830879593e-05	114.899047369853
"10"	0.479	0.000169833827696639	0.216313819424873	0.001	0.350518607785568	0.0892615825853489	2.03349116866278e-05	114.898400738871
"11"	0.479	0.000173534149786426	0.206876583905866	0.001	50.4535012679865	0.379181277394114	2.29191997421142e-05	209.495081965914
"12"	0.484	7.99114347611791e-05	0.0436560036741143	0.212871778491873	0.0125162976043229	3.59765032624254	0.000391477933148996	3151.82600752971
"13"	0.489	0.000160875744285189	0.183593949405928	1.13475400295792	0.754699580399228	46.166212439003	0.000398289655954891	3086.07991523519
"14"	0.478	6.46687269366736e-05	0.0117136244755546	0.150704456423144	2.34092676705963	0.0163902447742583	2.61397095106428e-05	2181.78856105899
"15"	0.45	0.000245444311538561	0.527617085567618	0.001	0.307400845050206	0.412120959461944	0.000769736453194368	2033.42296609724
"16"	0.479	0.000168762763045353	0.961609052804498	0.001	51.224801280892	0.0202683798275441	2.14528763076249e-05	223.329511920645
"17"	0.45	0.000212777864640109	2.02527967783987	0.001	0.417874411824793	67.4731048862712	0.000754205107404914	2033.42296609724
"18"	0.45	0.000179738290841538	5.77749679549973	0.001	0.0258874116779152	0.05170159666132	0.000769669031748145	2007.39620515546
"19"	0.479	0.000179366078121197	5.62606918574646	0.001	0.334897857310769	0.00639778733454762	2.03342169329765e-05	112.83186592402
"20"	0.479	0.000168760630654139	4.74831867734957	0.00415450293713343	0.243314924193899	3.61924851503138	4.37758395046434e-05	2079.62266753391
"21"	0.49	0.00017003373925179	4.2509775752796	1.94420561600192	14.4339189582538	5.796956078067	0.000408845199390573	3090.77922709453
"22"	0.45	0.000168792260071137	4.79892756635761	0.00161213452628167	0.298284010305883	254.307476173897	0.000770038221539714	2075.42269467603
"23"	0.485	0.000133700489386835	1.56070357166748	15.5453488161034	0.0125003825071249	3.62389422103622	0.000145807472624458	3201.60589776378
"24"	0.486	6.13195362549912e-05	0.267852311070211	22.84589574103	0.139695046669239	42.219648081843	0.00014511944183986	3189.53510492449
"25"	0.489	0.000449976670981035	0.0399398329769069	0.91354504675355	83.5561138402648	3.70752087111264	0.000404664832424163	3106.62911002671
"26"	0.479	0.000914392751914369	0.0768362333770662	0.001	0.0342800346268362	0.00332924411205751	2.11870505704355e-05	264.102612491316
"27"	0.475	0.000543079964970794	0.0525541595980298	0.593927961357016	4.51642771062384	2.95482911501627	2e-05	1251.12216919578
"28"	0.45	0.000638610875170873	0.0126294460421237	0.001	4.18735686341241	8.00102192564553	0.000753456713880266	2048.06413424303
"29"	0.45	0.0036390825094682	0.238887368985202	0.001	0.305933914727999	5.78029124760974	0.000753080063391856	2033.42296609724
"30"	0.478	0.000445384559465311	0.0398689422868176	5.12672179035335	0.0237859385674027	0.0266176890694652	4.40026537195324e-05	3189.47115139382
"31"	0.49	0.000449578706712911	0.0395921501912069	2.25282379114339	23.2539710727741	0.0272958787832738	0.000388701662365347	3134.71388641922
"32"	0.474	0.0034991489935587	0.233492515790953	18.3804892988273	0.0145950566174694	0.0182022327580548	2.13577138268011e-05	1407.2424424866
"33"	0.479	0.00589950303167273	0.404990948016722	0.001	0.430049801470328	0.192135933112132	2.4146371594449e-05	264.266346514523
"34"	0.451	8.00345070528914e-05	0.00869956618447542	0.00124083035792282	0.249961771743431	0.14808156870044	0.000762752076794284	2051.79757397543
"35"	0.479	0.000778815022880864	0.305096379334705	0.001	0.0250848133662779	0.0156818418768962	2.10736668238742e-05	158.578775126633
"36"	0.479	0.000498822180876602	0.302159810969667	0.001	0.0250942242194422	0.128474580298975	2.21247766567544e-05	161.250914263216
"37"	0.45	0.000411413401923445	0.180651507055364	0.001	3.84388671354603	94.3680783190323	0.000742276567304418	2033.42296609724
