"V2"	"V3"	"V4"	"V5"
"1"	0.119	2.11293546644739e-05	183.765533026492	2985.3625968428
"2"	0.118	2.10353725804499e-05	0.020082749535457	2423.69986355212
"3"	0.119	2.14648736657508e-05	0.809026577512651	3057.41395784437
"4"	0.118	2.31924154508379e-05	0.0108137251453648	2342.21464637687
"5"	0.119	2.12023312476624e-05	0.650039781411887	2933.46615232974
"6"	0.118	2.09894067905468e-05	0.0131930976382842	2314.45496544099
"7"	0.119	2.08713770637645e-05	6.23995581742396	3021.59066065426
"8"	0.119	2.08852213726713e-05	7.10834758690699	3008.31173601783
"9"	0.119	2.12036798975612e-05	6.63837758730783	3106.5503422728
"10"	0.119	2.19251266492513e-05	24.3204554385434	3038.16789400633
"11"	0.119	2.06132068837384e-05	104.487877120105	2974.48452613178
"12"	0.119	2.138066383028e-05	393.4521584309	3027.23575232444
"13"	0.119	2.0966181186434e-05	767.379359238086	3040.51262973431
"14"	0.119	2.84392140843413e-05	0.0120889705509955	2477.62191638626
"15"	0.12	2.60063942482231e-05	153.766547649675	3141.21926999952
"16"	0.119	2.01073387814298e-05	5.1313314479541	2947.16056291181
"17"	0.118	2.02618174825781e-05	0.0200673291440681	2382.42509107917
"18"	0.119	2.13959509255407e-05	3.34530752375704	3032.20231251008
"19"	0.12	2.44651313375911e-05	181.335307712092	3076.53577690091
"20"	0.119	2.02563175912823e-05	343.797530552626	3051.23721074693
"21"	0.118	2.00529263462323e-05	0.0163756091906236	2338.73450855345
"22"	0.119	2.42987926255139e-05	0.106941516445881	2866.13837718773
"23"	0.119	2.28057952333654e-05	0.266036292169674	2912.55264851914
"24"	0.119	2.16981950190831e-05	0.19250346045146	2926.48875962786
"25"	0.122	3.05527392605552e-05	1.44456702831441	3229.04116635913
"26"	0.118	2.06313776791784e-05	0.025764069524948	2474.24351279731
"27"	0.119	2.18878863699185e-05	0.954272575573256	3030.97072027557
"28"	0.121	3.06176341991473e-05	0.954962558750192	3120.16740996884
"29"	0.119	2e-05	175.999421912263	3106.11885093121
"30"	0.119	2.0735881842139e-05	222.780962469545	3047.8342632654
"31"	0.121	2.25286270126081e-05	749.703916424825	3217.22440065677
"32"	0.119	2.12651380639718e-05	331.57994905791	3100.4409492912
"33"	0.119	2.00011206921091e-05	618.400594236363	3056.37615460946
"34"	0.12	2.28757760898524e-05	591.932541710821	3136.97033871321
"35"	0.119	2.6800306863758e-05	0.0244158811288346	2528.21221277588
"36"	0.118	2.1514712386784e-05	0.010329134814883	2275.42163192526
"37"	0.119	2.00493947970137e-05	0.175411510920538	2815.44353997697
"38"	0.119	2.02374114233038e-05	0.241756405900585	2853.33176023905
"39"	0.121	2.86945951594192e-05	2.95198068252912	3177.30059362014
"40"	0.119	2.02880030381241e-05	27.6160008666825	3014.23097020959
"41"	0.133	5.15378682387001e-05	61.3037879427121	3607.93106204044
"42"	0.119	2.02723563854143e-05	333.839238241671	3012.4721801411
"43"	0.119	2.09311265748685e-05	958.277106824936	3044.69569002959
"44"	0.12	2.30440269507157e-05	527.863864464365	3171.17776926928
"45"	0.119	2.15169894226396e-05	945.60796222092	3045.16266814392
"46"	0.119	2.03369545082381e-05	649.116319718283	3027.28072826416
"47"	0.119	2.01689088551024e-05	0.175436741047722	2816.45721573512
"48"	0.119	2e-05	0.24655070469346	2981.03252116007
"49"	0.118	2.08027816421942e-05	0.0102627324428661	2373.06743014771
"50"	0.119	2.02236788669204e-05	8.04691580837372	3127.3066082672
"51"	0.119	2.04796376162517e-05	26.341821969492	3063.21585352968
"52"	0.119	2.07566409681367e-05	9.18560332242966	3072.46051599503
"53"	0.119	2.23780548697902e-05	48.0430696353291	3054.89774541954
"54"	0.119	2.06353007806683e-05	438.130989484799	3108.67727582081
"55"	0.119	2.2295660299537e-05	345.646711576423	3034.53942159505
"56"	0.119	2.04792923725533e-05	767.421433031073	3083.08216488382
"57"	0.137	6.52428162621267e-05	335.207841590429	3726.70005302459
"58"	0.119	2.01771849342338e-05	428.109544483359	2986.57935968199
"59"	0.118	2.06714688789551e-05	0.0108267645999449	2364.8787551142
"60"	0.118	2.08635455215697e-05	0.0101739588599001	2277.27169904036
"61"	0.118	2.02012764271251e-05	0.0163310207197593	2480.68127009161
"62"	0.119	2.0476322481385e-05	1.24222407599414	3059.10754199326
"63"	0.118	2.14357626948512e-05	0.0105450665243063	2375.61760518285
"64"	0.119	2.10211979686954e-05	60.285649866861	2982.67249225901
"65"	0.119	2.07796046345878e-05	688.181362051296	3029.09371945163
"66"	0.119	2.02105647842739e-05	785.202949973937	3090.54213899189
"67"	0.119	2.03736874981128e-05	424.775426884692	3044.25730897605
"68"	0.141	8.5421839841713e-05	782.231269737589	3826.71937231849
"69"	0.119	2.09957886603825e-05	608.966249640419	3066.09639572449
"70"	0.119	2.02012538316297e-05	418.73648138286	2995.75987686736
"71"	0.118	2.05203456332383e-05	0.0111175635589237	2468.60738140391
"72"	0.119	2.07652167698575e-05	0.136824969832613	2796.3897503673
"73"	0.126	3.00794595756857e-05	0.196844717054162	3297.32793905015
"74"	0.119	2.04158587183102e-05	0.17560009216601	2920.32171914577
"75"	0.119	2.16713453709846e-05	11.775489088157	3060.83933510806
"76"	0.119	2.02567950682775e-05	656.283619184131	3105.03756990239
"77"	0.119	2.15775947628272e-05	951.285959981457	3045.84825748428
"78"	0.119	2.16456954715578e-05	0.0662143607369565	2837.24366829325
"79"	0.118	2.06474461927127e-05	0.0142136754292366	2309.93008984197
"80"	0.119	2.2289050992481e-05	3.56235506314989	3029.94365804706
"81"	0.119	2.07828352663888e-05	17.2949433787072	3051.37023387776
"82"	0.119	2.11289328173061e-05	14.0107885582957	3030.14155302079
"83"	0.119	2.09179940031232e-05	190.707351328608	3094.65450282442
"84"	0.119	2.02834567466703e-05	663.344770224237	3012.95977596272
"85"	0.246	0.00112260692756446	0.0101729770871657	4999.57911480273
"86"	0.118	2e-05	0.0349887932313202	2601.45759990852
"87"	0.119	2e-05	0.268840056086617	2897.93309710167
"88"	0.118	2.26786293471808e-05	0.010770714140722	2368.76710086723
"89"	0.119	2.0879652225878e-05	1.44824176684229	2953.40261307693
"90"	0.118	2.28648396840361e-05	0.0125764599985069	2365.36849777269
"91"	0.118	2.22602391101954e-05	0.0110131436031464	2293.64610007658
"92"	0.119	2.05764979725724e-05	29.9049025362531	2990.83410411622
"93"	0.119	2.0925431657764e-05	128.109555733767	3038.0880439064
"94"	0.119	2.14993904727156e-05	203.127859812858	3100.19247161869
