"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"1"	0.575	0.00114019565332181	0.301604064572288	0.001	0.0252920987055877	20.8021383006989	0.000149112361942183	1626.37341072451
"2"	0.575	0.000211463910791891	0.0748754038573235	0.001	4.33710703001376	1.86968341593276	0.000149833108136667	1622.07919442194
"3"	0.17	0.000180237589015196	0.0544997965879465	124.032186417033	0.001	7.78068823121853	0.000557996849569079	1432.18934289047
"4"	0.55	0.000398889990320132	12.0158645818659	0.001	0.035692308505506	131.790850914951	0.0007701635	1063.63800930123
"5"	0.55	0.000178346582252518	0.25160315968805	0.001	50.1600818938868	0.0811959699181204	0.0007701635	933.230334854343
"6"	0.575	0.00492760093827429	8.79544365351014	0.001	0.340595973973278	20.9413712735164	0.000149768635356827	1631.84232274029
"7"	0.55	0.000177501903523791	0.278891048922732	0.001	48.9547110749239	10.4612607902043	0.0007701635	1042.12662785367
"8"	0.575	0.000210562596858624	0.27043918015741	0.00106582318195747	0.0172509825617484	0.270252279612005	0.000149182652619809	1620.8881120785
"9"	0.575	0.000181015183318438	1.57910919150365	0.00118145211464191	0.0274586429911409	14.6559593403714	0.000149052934188136	1627.78838123474
"10"	0.575	0.000188934786676075	1.43605536969977	0.001	3.14910596240661	1.73219202808529	0.000149052934188136	1610.87255209044
"11"	0.575	0.000187894208282185	1.41915460612034	0.0011996990331732	2.43956301665274	1.13397034239168	0.000149157415111266	1626.92365606307
"12"	0.551	0.000190191013710533	1.56340655216271	0.00101078339602333	54.4105739704632	0.0868414268572873	0.0007701635	1140.14047676027
"13"	0.554	9.05744107563019e-05	0.603631198408004	0.00105391698011663	51.4971783756277	12.1475146243259	0.0007701635	1631.84232274029
"14"	0.55	0.000185566895303691	1.40906676304675	0.001	0.328792842130578	1.08139512892292	0.0007701635	1042.65980607889
"15"	0.194	0.000238931264576871	0.00693147180559945	100.21872509958	0.00571231495236236	0.0750168294454588	0.000764677998903952	1292.25050690345
"16"	0.55	0.000583438214452668	9.5572294494053	0.001	0.429162945141356	1.04775695415682	0.0007701635	980.95144944913
"17"	0.55	0.000184519129945587	1.39997063935195	0.001	4.14639661152502	1.0760312295823	0.0007701635	998.97238343461
"18"	0.575	0.000187874437623498	8.24631234052094	0.00104390122963153	0.0156960741793486	0.09154807570655	0.000149110931022628	1626.94886131098
"19"	0.575	0.000212282693242367	9.7597940914258	0.00106866111211854	0.0197157040128682	0.0146705258611282	0.000149667842407519	1630.63680781959
"20"	0.55	0.000169947943579849	9.34949594483833	0.001	0.0264030591592161	158.87498562236	0.0007701635	1020.74257893718
"21"	0.575	0.000189524843339412	1.61708309133839	0.001	43.9894026432368	0.0153314707906155	0.000149805892505786	1631.84232274029
"22"	0.55	0.000185577926933304	7.71345708808146	0.001	0.451339376354609	11.8337378894308	0.0007701635	1050.92294289209
"23"	0.55	0.00017702799719803	7.67022440414665	0.001	0.449809547858616	9.74936100353762	0.0007701635	1057.2791794932
"24"	0.575	0.000190412496002116	8.45815498606916	0.001	4.32722287828319	0.0149169313809948	0.000149842494408483	1631.84232274029
"25"	0.55	0.000187540455540805	7.68279765007241	0.001	53.2580738929507	0.0693018454923396	0.0007701635	1041.21466351604
"26"	0.575	0.00146861581841398	30.9558436302772	0.001	0.0355713483649675	0.0112092651637167	0.000149387506273633	1626.9604863826
"27"	0.575	0.000224939520611225	16.2005214915844	0.001	0.453886358675007	22.3199073948799	0.000149380020390123	1622.8817281769
"28"	0.575	0.000206359712722158	9.49533882412369	0.001	52.1177027899442	21.9932629265967	0.000149561790860852	1623.12485010385
"29"	0.555	6e-05	0.0199277776759265	0.00111142842557436	48.3576498975995	158.617386457947	0.0007701635	1631.84232274029
"30"	0.205	6.97800598357158e-05	0.0332546449032613	4.05021265285277	0.0118492230357138	74.425133348482	0.000427042093875796	1274.1503442507
"31"	0.575	0.000171944096495963	0.0427936676078346	0.001	69.9105716130991	0.0157404359272378	0.000150021403244918	1629.91473497002
"32"	0.575	0.00597700572568849	0.463175706643175	0.001	0.323545075555691	0.013779762688839	0.000149911994095705	1631.84232274029
"33"	0.55	0.000457728797500677	0.261829416518161	0.001	0.328456897389372	0.0693357466012033	0.0007701635	937.806278628243
"34"	0.55	0.000871542410282696	0.845130696462765	0.001	0.0346937856387708	13.5990101419974	0.0007701635	1060.46581389329
"35"	0.55	6e-05	0.139453496813885	0.001	4.05752051893177	153.382113900485	0.0007701635	1058.49280874625
"36"	0.575	0.00576194584454303	2.85313230565951	0.001	0.026688412745852	1.80472617436193	0.000149949199023871	1631.84232274029
"37"	0.551	0.00153730685621387	1.25256538046766	0.001	5.44078594108018	0.0744026409462998	0.0007701635	1226.52672594915
"38"	0.575	0.000538500401569934	0.519690527128216	0.001	5.40960071126309	13.919231558091	0.000149928195685523	1631.84232274029
"39"	0.575	0.00237094115713734	6.85569546861606	0.001	0.0252383684934639	0.0104079343976914	0.000149901445376873	1631.84232274029
"40"	0.55	0.000475584896063319	1.37842206438479	0.001	49.8456839023325	0.0834531532444732	0.0007701635	933.277154741928
